句子,喜歡,憤怒,難過,驚訝,害怕,無表情
可以認識在這裡發生過的事情。,0,0,0,0,0,1
每一次爸爸帶我來這裡,0,0,0,0,0,1
都會告訴我一些這裡發生過的事情,0,0,0,0,0,1
也認識到老爺爺們當時的辛苦,0,0,0,0,0,1
原來我們現在可以安居樂業的生活在這裡,1,0,0,0,0,0
是老爺爺們努力,0,0,0,0,0,1
換來的。,0,0,0,0,0,1
爸爸常告訴我：每一個人都要認識自己生活的地方,0,0,0,0,0,1
也要知道這裡的歷史。,0,0,0,0,0,1
所以到「義民文史館」,0,0,0,0,0,1
就可以對我們生活的地方,0,0,0,0,0,1
多一點認識了。,0,0,0,0,0,1
第三課 合作的重要性,0,0,0,0,0,1
一個人的力量小,0,0,0,0,0,1
只能做小事情。,0,0,0,0,0,1
大家一起工作,0,0,0,0,0,1
力量大。,0,0,0,0,0,1
大家為一個目標努力,0,0,0,0,0,1
這就是「合作」。,0,0,0,0,0,1
螞蟻是小動物,0,0,0,0,0,1
一隻螞蟻搬不動一粒豆子,0,0,0,0,0,1
兩隻螞蟻還是搬不動,0,0,0,0,0,1
但是許多螞蟻一起用力,0,0,0,0,0,1
就能把豆子搬回窩裡去了,0,0,0,0,0,1
這就是合作的好處。,0,0,0,0,0,1
合作才能產生大的力量,0,0,0,0,0,1
我們要如何合作呢？,0,0,0,0,0,1
在合作之前,0,0,0,0,0,1
大家要先「分工」。,0,0,0,0,0,1
分工就是把一件事情,0,0,0,0,0,1
分給許多人去做。,0,0,0,0,0,1
每個人有不同的工作,0,0,0,0,0,1
大家互相配合,0,0,0,0,0,1
互相幫助,0,0,0,0,0,1
一起完成一件事。,0,0,0,0,0,1
所以分工是完成大事的重要過程。,0,0,0,0,0,1
我們明白了合作的道理,0,0,0,0,0,1
就應該做一個能夠跟別人合作的人,0,0,0,0,0,1
用大家的力量一起做大事。,0,0,0,0,0,1
第九課 感人的故事,0,0,0,0,0,1
小麗對我說了一個故事。,0,0,0,0,0,1
她說：有一天晚上,0,0,0,0,0,1
一個農家失火了。,0,0,0,0,0,1
農人醒來的時候,0,0,0,0,0,1
火已經燒得很大了。,0,0,0,0,0,1
他把一家人叫起來,0,0,0,0,0,1
趕緊逃到屋外大聲的呼叫。,0,0,0,0,1,0
附近的農家聽到了,0,0,0,0,0,1
就馬上通知大家一起來救火,0,0,0,0,0,1
經過一段時間,0,0,0,0,0,1
總算把火滅了。,0,0,0,0,0,1
後來,0,0,0,0,0,1
農人進屋裡,0,0,0,0,0,1
發現母雞被火燒死了。,0,0,1,0,0,0
他難過的抱起母雞,0,0,1,0,0,0
想不到母雞的身子下面,0,0,0,0,0,1
還有四隻可愛的小雞,0,0,0,0,0,1
在那兒吱吱的叫,0,0,0,0,0,1
根本不知道發生了什麼事情。,0,0,0,0,0,1
小麗告訴我這個故事,0,0,0,0,0,1
讓我想到有一次地震,0,0,0,0,0,1
媽媽嚇得走不動了,0,0,0,0,1,0
但她還是緊緊的抱住我,0,0,0,0,0,1
用她的身子護著我,0,0,0,0,0,1
怕有東西掉下來,0,0,0,0,1,0
我會受傷。,0,0,0,0,0,1
原來,0,0,0,0,0,1
所有的母親都是這麼偉大的。,0,0,0,0,0,1
第二課 誰最美,0,0,0,0,0,1
有隻漂亮的蝴蝶,0,0,0,0,0,1
頭上戴著金絲,0,0,0,0,0,1
身上穿著花衣,0,0,0,0,0,1
每天把自己梳洗得光鮮亮麗。,0,0,0,0,0,1
飛到東,0,0,0,0,0,1
飛到西,0,0,0,0,0,1
展現她美麗的樣子。,0,0,0,0,0,1
有一天,0,0,0,0,0,1
蝴蝶停在樹葉上,0,0,0,0,0,1
看見啄木鳥,0,0,0,0,0,1
就對啄木鳥說：「啄木鳥先生,0,0,0,0,0,1
我們來比一比,0,0,0,0,0,1
看誰最漂亮。」,0,0,0,0,0,1
啄木鳥不理她,0,0,0,0,0,1
繼續為生病的老樹抓蟲子。,0,0,0,0,0,1
蝴蝶又飛到花園裡,0,0,0,0,0,1
看到一隻小蜜蜂停在花上,0,0,0,0,0,1
她對蜜蜂說：「大眼睛的蜜蜂,0,0,0,0,0,1
你看,0,0,0,0,0,1
我是不是很漂亮？」,0,0,0,0,0,1
蜜蜂頭也不抬的說：「對不起！果樹開花了,0,0,0,0,0,1
我要去採花蜜,0,0,0,0,0,1
果樹有了我,0,0,0,0,0,1
才能長出好吃的水果。」,0,0,0,0,0,1
後來,0,0,0,0,0,1
蝴蝶遇見一匹小馬在學拉車,0,0,0,0,0,1
蝴蝶就問小馬：「為什麼大家都不喜歡我,0,1,0,0,0,0
是不是我不漂亮？」,0,0,1,0,0,0
小馬說：「你很漂亮,0,0,0,0,0,1
可是只有美麗還不夠,0,0,0,0,0,1
要能做事,0,0,0,0,0,1
才能讓人喜歡啊！」,1,0,0,0,0,0
第五課 蔡倫造紙,0,0,0,0,0,1
古代沒有紙,0,0,0,0,0,1
人們要寫字,0,0,0,0,0,1
只能寫在竹片、木片或是布上。,0,0,0,0,0,1
一千年前,0,0,0,0,0,1
有一個人名叫蔡倫,0,0,0,0,0,1
他想：「竹片、木片太重,0,0,0,0,0,1
買布要花費很,0,0,0,0,0,1
多錢,0,0,0,0,0,1
所以想做一種又輕又省錢的東西,0,0,0,0,0,1
方便大家寫字。」,0,0,0,0,0,1
蔡倫很用心的去想造紙的方法。他試過各種不同的材料,0,0,0,0,0,1
實驗過各種方法,0,0,0,0,0,1
可是造出來的紙都不合用,0,0,0,0,0,1
不是太厚,0,0,0,0,0,1
就是容易破掉。,0,0,0,0,0,1
蔡倫試了各種方法都失敗,0,0,1,0,0,0
可是他還是不斷的實驗。,0,0,0,0,0,1
有一次,0,0,0,0,0,1
他試著用樹皮、破布放到鍋子裡去煮,0,0,0,0,0,1
然後再拿去晒乾,0,0,0,0,0,1
最後把晒乾的材料做成紙,0,0,0,0,0,1
結果製造出來的紙又輕便又不容易破,0,0,0,0,0,1
很受大家歡迎。,1,0,0,0,0,0
蔡倫的造紙方法,0,0,0,0,0,1
慢慢的傳開了,0,0,0,0,0,1
後來更傳到世界各地。,0,0,0,0,0,1
造紙的發明,0,0,0,0,0,1
成為中國四大發明之一。,0,0,0,0,0,1
第八課 如果我是一隻小鳥,0,0,0,0,0,1
如果我是一隻小鳥,0,0,0,0,0,1
我要為我喜歡的小朋友唱歌。,1,0,0,0,0,0
早上,0,0,0,0,0,1
我在小朋友的窗外唱歌,0,0,0,0,0,1
提醒他趕緊起床,0,0,0,0,0,1
梳洗後,0,0,0,0,0,1
才可以快些上學。,0,0,0,0,0,1
我要一路唱著歌,0,0,0,0,0,1
送他去上學。,0,0,0,0,0,1
如果我是一隻小鳥,0,0,0,0,0,1
我就可以自由的在天上飛,0,0,0,0,0,1
我要飛多高就飛多高,0,0,0,0,0,1
要飛多遠就飛多遠。,0,0,0,0,0,1
我不怕高山擋路,0,0,0,0,0,1
也不怕大海阻隔。,0,0,0,0,0,1
如果我是一隻小鳥,0,0,0,0,0,1
我要飛到旗杆上,0,0,0,0,0,1
或是高塔上。,0,0,0,0,0,1
我可以在旗杆上開懷唱歌,1,0,0,0,0,0
我可以在高塔上眺望美麗的風景。,0,0,0,0,0,1
如果我是一隻小鳥,0,0,0,0,0,1
我要幫人們做一些事情。雖然我身子小,0,0,0,0,0,1
沒有力量做大事情,0,0,0,0,0,1
但是我可以幫人們除去害蟲,0,0,0,0,0,1
讓人們種的稻子和果樹,0,0,0,0,0,1
長得又快又好。,0,0,0,0,0,1
第六課 水有不同的面貌,0,0,0,0,0,1
上課時,0,0,0,0,0,1
老師問我們：「水會變成不同的面貌,0,0,0,0,0,1
躲在不同的地方,0,0,0,0,0,1
你們能告訴我,0,0,0,0,0,1
水有哪些變化嗎？」,0,0,0,0,0,1
小方說：「天上水氣很厚時,0,0,0,0,0,1
就結成了雲,0,0,0,0,0,1
白雲是水的化身。」,0,0,0,0,0,1
小明說：「晚上氣候變冷,0,0,0,0,0,1
地上就有露水,0,0,0,0,0,1
露水也是水的化身。」,0,0,0,0,0,1
小美想了想,0,0,0,0,0,1
說：「雨水是水的化身嗎？」,0,0,0,0,0,1
老師說：「雨水也是水,0,0,0,0,0,1
它不是水的化身。」,0,0,0,0,0,1
小美從窗口向遠方一望,0,0,0,0,0,1
看到山頭有一層白雪,0,0,0,0,0,1
他高興的說：「我知道了,1,0,0,0,0,0
天氣太冷,0,0,0,0,0,1
天上就會下雪,0,0,0,0,0,1
美麗的雪花也是水的化身。」,0,0,0,0,0,1
老師對大家的回答很滿意,1,0,0,0,0,0
笑著讚美我們：「你們都很聰明,1,0,0,0,0,0
都找到水的化身了。」,0,0,0,0,0,1
第十一課 姑姑要出嫁,0,0,0,0,0,1
不久前,0,0,0,0,0,1
我的姑姑跟她的男朋友訂婚了。,1,0,0,0,0,0
訂婚那一天,1,0,0,0,0,0
男方送來許多喜餅和鮮花,0,0,0,0,0,1
奶奶滿臉笑容的招呼客人,1,0,0,0,0,0
姑姑請大家喝甜茶,0,0,0,0,0,1
兩家的父母一起決定了姑姑出嫁的好日子。,0,0,0,0,0,1
姑姑要結婚的事傳開了,0,0,0,0,0,1
大伯母送來金戒指。,0,0,0,0,0,1
二伯母送來了大紅色的被子。,0,0,0,0,0,1
媽媽幫姑姑準備漂亮的婚紗,0,0,0,0,0,1
奶奶找時間跟姑姑說話,0,0,0,0,0,1
教姑姑以後怎樣照顧自己的新家。,0,0,0,0,0,1
只有爺爺坐在一旁不說話,0,0,0,0,0,1
我想是因為捨不得姑姑出嫁吧。,0,0,1,0,0,0
姑姑出嫁的那一天,0,0,0,0,0,1
她拜過了父母和祖先。,0,0,0,0,0,1
親友都來說恭喜,1,0,0,0,0,0
姑姑穿上了白色的結婚禮服,0,0,0,0,0,1
漂亮得像天上仙女一樣,0,0,0,0,0,1
她跟新郎站在一起,0,0,0,0,0,1
真是郎才女貌。,0,0,0,0,0,1
這時門外炮聲響起,0,0,0,0,0,1
我們送姑姑坐進了轎車,0,0,0,0,0,1
我祝福姑姑和姑丈,1,0,0,0,0,0
從此過著幸福快樂的日子。,1,0,0,0,0,0
第十三課 義工家庭,0,0,0,0,0,1
我的爸爸在學校當義工。,0,0,0,0,0,1
每天早上上班前,0,0,0,0,0,1
站在學校門口指揮交通。,0,0,0,0,0,1
讓我們平安的上學。不管是天熱的夏天,0,0,0,0,0,1
還是寒風刺骨的冬天,0,0,0,0,0,1
爸爸都會去,0,0,0,0,0,1
學校當義工,0,0,0,0,0,1
從來不缺席。,0,0,0,0,0,1
我的奶奶在醫院裡當義工。,0,0,0,0,0,1
她每天一早就到醫院,0,0,0,0,0,1
有時候幫忙接聽電話,0,0,0,0,0,1
有時候送藥給病人,0,0,0,0,0,1
有時候教病人怎麼吃藥,0,0,0,0,0,1
大家都說奶奶是熱心的義工。,0,0,0,0,0,1
我也是個小義工,0,0,0,0,0,1
每個星期天早上,0,0,0,0,0,1
我和媽媽加入社區的清潔隊,0,0,0,0,0,1
為社區打掃公園。,0,0,0,0,0,1
讓社區清潔乾淨。,0,0,0,0,0,1
當義工是很快樂的事,1,0,0,0,0,0
可以多做事,0,0,0,0,0,1
可以幫助別人,0,0,0,0,0,1
也可以學會很多東西。我們全家人都是義工,0,0,0,0,0,1
是個快樂的義工家庭。,1,0,0,0,0,0
第十二課 要把話聽完,0,0,0,0,0,1
小狼長大了,0,0,0,0,0,1
決定去看看外面的世界。,0,0,0,0,0,1
有一天,0,0,0,0,0,1
小狼對爺爺說：「剛才我看到大老虎,0,0,0,0,0,1
差一點被老虎吃了！」,0,0,0,0,0,1
爺爺說：「老虎跑得很快,0,0,0,0,0,1
可是他跑起來不容易轉彎,0,0,0,0,0,1
所以你只能從後面去打牠,0,0,0,0,0,1
不過……」,0,0,0,0,0,1
爺爺還沒把話說完,0,0,0,0,0,1
小狼又跑出去了。,0,0,0,0,0,1
小狼在森林裡遇見一匹馬,0,0,0,0,0,1
他想起爺爺的話,0,0,0,0,0,1
於是對著馬背,0,0,0,0,0,1
用力的踢下去,0,0,0,0,0,1
想不到馬的後腿一踢,0,0,0,0,0,1
小狼就被踢倒在地上了。,0,0,0,0,0,1
小狼又跑回去找爺爺,0,0,0,0,0,1
爺爺說：「馬的後腳有力,0,0,0,0,0,1
你不可以從馬背後去抓他的……」,0,0,0,0,0,1
小狼沒有聽完爺爺的話,0,0,0,0,0,1
就說：「懂了！懂了！」,0,0,0,0,0,1
過了兩天,0,0,0,0,0,1
小狼出去,0,0,0,0,0,1
又看到一匹黑馬,0,0,0,0,0,1
這時他跑到馬的前面去,0,0,0,0,0,1
還來不及伸出爪子,0,0,0,0,0,1
就被黑馬踢倒在地上,0,0,0,0,0,1
小狼跌個四腳朝天,0,0,0,0,0,1
鼻青臉腫的回家。,0,0,0,0,0,1
小狼哭著回家,0,0,1,0,0,0
爺爺看了生氣的說：「每一次,0,1,0,0,0,0
你沒聽完話,0,0,0,0,0,1
就說：『我懂！我懂！』只好自找苦吃了。」,0,0,0,0,0,1
第十五課 金色的泰國,0,0,0,0,0,1
十月一日　星期六　天氣晴,0,0,0,0,0,1
早上,0,0,0,0,0,1
爸爸帶我和弟弟去機場接朋友。,0,0,0,0,0,1
往機場的路上,0,0,0,0,0,1
兩旁立著一尊尊人身鳥翅的神像,0,0,0,0,0,1
這些神像雙手合十,0,0,0,0,0,1
好像是歡迎觀光客到泰國來玩,0,0,0,0,0,1
真是有趣。,1,0,0,0,0,0
下午爸爸帶朋友去玉佛寺,0,0,0,0,0,1
玉佛寺像是黃金打造的佛寺,0,0,0,0,0,1
金色的屋頂閃著亮光,0,0,0,0,0,1
寺廟的牆畫也是勾著金邊,0,0,0,0,0,1
真是好看。,0,0,0,0,0,1
晚上,0,0,0,0,0,1
爸爸帶我們到河邊一家餐廳吃飯,0,0,0,0,0,1
河邊兩旁的路燈照在河面上,0,0,0,0,0,1
發出閃閃的金色光芒,0,0,0,0,0,1
非常好看。,0,0,0,0,0,1
用餐時,0,0,0,0,0,1
我看到鑲著金邊的盤子上,0,0,0,0,0,1
放著炸得金黃色的蝦子,0,0,0,0,0,1
我覺得泰國人真是喜歡金色。,1,0,0,0,0,0
不管是寺廟、房子,0,0,0,0,0,1
還是衣服、食物,0,0,0,0,0,1
都可以看到金黃的顏色。金色真美,0,0,0,0,0,1
不僅表示華麗,0,0,0,0,0,1
而且像陽光一樣,0,0,0,0,0,1
充滿活力。,1,0,0,0,0,0
第十四課 美麗的春天,0,0,0,0,0,1
柔柔的風,0,0,0,0,0,1
淡淡的雲,0,0,0,0,0,1
枝頭吐新芽,0,0,0,0,0,1
鳥聲滿樹林。,0,0,0,0,0,1
快樂的春天已經來臨。,1,0,0,0,0,0
清清的泉水,0,0,0,0,0,1
絲絲的細雨,0,0,0,0,0,1
滿地野草綠,0,0,0,0,0,1
一山桃花紅。,0,0,0,0,0,1
美麗的春天來到村中。,0,0,0,0,0,1
青青的山,0,0,0,0,0,1
綠綠的水,0,0,0,0,0,1
田裡插新秧,0,0,0,0,0,1
鳥兒低低飛。,0,0,0,0,0,1
可愛的春天景色真美。,0,0,0,0,0,1
藍藍的天,0,0,0,0,0,1
白白的雲,0,0,0,0,0,1
孩子放風箏,0,0,0,0,0,1
大人去踏青。,0,0,0,0,0,1
溫暖的春天人人歡迎。,0,0,0,0,0,1
第十課 新年的希望,0,0,0,0,0,1
元旦的早上,0,0,0,0,0,1
天氣很晴朗,0,0,0,0,0,1
到處是陽光。,0,0,0,0,0,1
我們全家團聚在一起,0,0,0,0,0,1
每人說出新年的希望。,0,0,0,0,0,1
爸爸說：媽媽從早忙到晚,0,0,0,0,0,1
我們才有舒服的日子。,0,0,0,0,0,1
希望大家多幫媽媽的忙。,0,0,0,0,0,1
媽媽說：爸爸是一家之主,0,0,0,0,0,1
他要照顧這個家,0,0,0,0,0,1
我們要讓爸爸專心做事。,0,0,0,0,0,1
我希望爸爸、媽媽健康,0,0,0,0,0,1
也希望妹妹活潑又可愛,1,0,0,0,0,0
更希望我們一家人,0,0,0,0,0,1
永遠幸福安康！,1,0,0,0,0,0
第四課 愛迪生發明電燈,0,0,0,0,0,1
愛迪生是一位偉大的發明家,0,0,0,0,0,1
他一生發明了一千多件的東西,0,0,0,0,0,1
大家都叫他「發明大王」。,0,0,0,0,0,1
有人問他：「在那麼多發明中,0,0,0,0,0,1
對人類最有用的是哪一種？」,0,0,0,0,0,1
他回答：「電燈。」,0,0,0,0,0,1
愛迪生為了發明電燈,0,0,0,0,0,1
做了上千種的實驗。他整天躲在實驗室裡做實驗,0,0,0,0,0,1
實驗了兩年,0,0,0,0,0,1
才從好幾百種材料中,0,0,0,0,0,1
找到好用的材料。,0,0,0,0,0,1
過去沒有電燈,0,0,0,0,0,1
天黑了只能點煤油燈,0,0,0,0,0,1
非常不方便。有了電燈以後,0,0,0,0,0,1
晚上像白天一樣明亮,0,0,0,0,0,1
大家就可以在晚上工作了。,0,0,0,0,0,1
愛迪生的成功,1,0,0,0,0,0
不是因為他聰明,0,0,0,0,0,1
而是他很努力,0,0,0,0,0,1
他曾經說：「成功是靠九十九分的努力,0,0,0,0,0,1
和一分的天才。」他的精神值得大家學習。,0,0,0,0,0,1
求學與做人求學與做人是每個人必學的兩件事,0,0,0,0,0,1
求學的目的,0,0,0,0,0,1
在學習做人的道理,0,0,0,0,0,1
所以求學與做人是分不開的,0,0,0,0,0,1
到學校求學,0,0,0,0,0,1
不只是求得書本上的知識,0,0,0,0,0,1
更重要的,0,0,0,0,0,1
是還要把這些知識應用到日常生活裡,0,0,0,0,0,1
一般人往往把求學的範圍看得很狹窄,0,0,0,0,0,1
認為只有在學校裡求得的知識才是學問,0,0,0,0,0,1
這是很大的錯誤,0,0,0,0,0,1
其實學問的範圍很廣,0,0,0,0,0,1
除了書本上的知識,0,0,0,0,0,1
老師講授的道理,0,0,0,0,0,1
還有從生活中獲得的見聞都是學問,0,0,0,0,0,1
有些人把求學和做人當成是兩件事,0,0,0,0,0,1
所以只努力在追求知識上,0,0,0,0,0,1
其實不懂做人的道理,0,0,0,0,0,1
知識也發揮不了作用的,0,0,0,0,0,1
例如：做人虛假不實,0,0,0,0,0,1
不講信用,0,0,0,0,0,1
做事隨便草率,0,0,0,0,0,1
馬馬虎虎,0,0,0,0,0,1
這種人,0,0,0,0,0,1
有誰會去雇用他呢,0,0,0,0,0,1
那麼他的學問不是就沒有用了嗎,0,0,0,0,0,1
所以求學是為了工作,0,0,0,0,0,1
為了做人,0,0,0,0,0,1
而要有好工作又必須要求學,0,0,0,0,0,1
所以它們是相互影響的,0,0,0,0,0,1
總之,0,0,0,0,0,1
真正有學問的人,0,0,0,0,0,1
一定懂得做人的道理,0,0,0,0,0,1
只有那些擁有豐富學識,0,0,0,0,0,1
又懂得做人道理的人,0,0,0,0,0,1
才是真正受人尊敬的,0,0,0,0,0,1
泰國潑水節上課時,0,0,0,0,0,1
老師說：「一年一度的泰國新年『潑水節』即將來臨,0,0,0,0,0,1
日期是四月十三日到四月十五日一連三天,0,0,0,0,0,1
不論在曼谷或是泰國其他地方,0,0,0,0,0,1
都會舉行各種慶祝活動,0,0,0,0,0,1
熱鬧的程度就像華人過新年一般,0,0,0,0,0,1
」接著老師又說：「誰願意上台說一說過『潑水節』的情形,0,0,0,0,0,1
」小美第一個舉手,0,0,0,0,0,1
老師請她到台上報告,0,0,0,0,0,1
小美說：「我喜歡『潑水節』,1,0,0,0,0,0
因為水象徵純淨,0,0,0,0,0,1
所以那天一早起來,0,0,0,0,0,1
我們要先梳洗乾淨,0,0,0,0,0,1
然後到佛寺祭拜,0,0,0,0,0,1
祈求新的一年平安順利,0,0,0,0,0,1
」小亮接著上台說：「『潑水節』的潑水方式是有不同的,0,0,0,0,0,1
對長輩時,0,0,0,0,0,1
是以葉子沾水滴上幾滴而已,0,0,0,0,0,1
代表對父母、長輩的尊敬,0,0,0,0,0,1
並祈求保佑,0,0,0,0,0,1
年輕人或小孩子喜歡玩潑水,1,0,0,0,0,0
有人被潑得全身溼淋淋的,0,0,0,0,0,1
都不會生氣,1,0,0,0,0,0
因為水可以把過去一年的不順利洗掉,0,0,0,0,0,1
讓新的一年好運連連,0,0,0,0,0,1
」小海說：「每到『潑水節』,0,0,0,0,0,1
他們就會穿上傳統衣服,0,0,0,0,0,1
繞著街道祈福,0,0,0,0,0,1
最後在音樂聲中互相潑水,0,0,0,0,0,1
把身上的髒氣洗掉,0,0,0,0,0,1
」最後老師說：「你們說得真好,0,0,0,0,0,1
除了潑水的活動,0,0,0,0,0,1
各地還舉辦一些慶祝大會,0,0,0,0,0,1
像是食品展、花車遊行、選美比賽以及各式各樣的煙火表演等,0,0,0,0,0,1
同時也吸引不少各地的觀光客,0,0,0,0,0,1
來參加泰國的『潑水節』,0,0,0,0,0,1
一起慶祝新的一年,0,0,0,0,0,1
」傳,0,0,0,0,0,1
惜字亭前些時候,0,0,0,0,0,1
我在張伯伯家看到一個小小的泥爐,0,0,0,0,0,1
爐上面刻著「敬惜字紙」四個字,0,0,0,0,0,1
我問張伯伯：「這是什麼,0,0,0,0,0,1
」張伯伯說：「這是惜字亭的模型,0,0,0,0,0,1
以前用來燒字紙的爐子,0,0,0,0,0,1
因為可以讀書識字,0,0,0,0,0,1
是很有福氣的人,0,0,0,0,0,1
大家都羨慕讀書人,0,0,0,0,0,1
而讀書人也珍惜文字,0,0,0,0,0,1
不敢把用過的紙隨意丟在路邊,0,0,0,0,0,1
所以他們會在書桌旁邊,0,0,0,0,0,1
放一個字紙筒,0,0,0,0,0,1
專門收字紙,0,0,0,0,0,1
最後一起送去燒,0,0,0,0,0,1
」「以前的讀書人真是珍惜文字,0,0,0,0,0,1
那字紙用了以後,0,0,0,0,0,1
又拿去哪裡燒呢,0,0,0,0,0,1
」我問張伯伯,0,0,0,0,0,1
張伯伯說：「以前在寺廟前或街頭巷尾,0,0,0,0,0,1
都可以看到高高的爐子,0,0,0,0,0,1
爐上刻著『敬字亭』或『惜字亭』,0,0,0,0,0,1
用過的字紙就是帶到那裡去燒了,0,0,0,0,0,1
」我說：「把字紙燒了多可惜啊,0,0,0,0,0,1
」張伯伯輕拍我的肩膀說：「從前用紙的數量,0,0,0,0,0,1
不像現在這麼多,0,0,0,0,0,1
讀書人把字紙燒了,0,0,0,0,0,1
看著輕煙從爐裡飄出來,0,0,0,0,0,1
好像是告訴天神,0,0,0,0,0,1
我們是珍惜文字的讀書人,0,0,0,0,0,1
現在用紙的數量增加了,0,0,0,0,0,1
需要砍更多的樹來製造紙張,0,0,0,0,0,1
所以我們要做好資源回收,0,0,0,0,0,1
讓紙張再生,0,0,0,0,0,1
時代不同了,0,0,0,0,0,1
現在已經沒有惜字亭了,0,0,0,0,0,1
孫悟空三借芭蕉扇《西遊記》是我國著名的小說,0,0,0,0,0,1
寫唐三藏去西天取經的故事,0,0,0,0,0,1
有一次,0,0,0,0,0,1
唐三藏和他的徒弟孫悟空經過火焰山,0,0,0,0,0,1
當時已經是秋天,0,0,0,0,0,1
但天氣還是像夏天一樣熱,0,0,0,0,0,1
附近的人家收成不好,0,0,0,0,0,1
生活非常痛苦,0,0,1,0,0,0
孫悟空想幫助人民解決問題,0,0,0,0,0,1
打聽之後才知道,0,0,0,0,0,1
有個鐵扇公主,0,0,0,0,0,1
她手上的芭蕉扇,0,0,0,0,0,1
能夠搧熄火焰山的火,0,0,0,0,0,1
於是他去找鐵扇公主借扇子,0,0,0,0,0,1
公主不但不答應,0,0,0,0,0,1
反而把他搧到很遠的地方去,0,0,0,0,0,1
孫悟空並不死心,0,0,0,0,0,1
為了借到扇子,0,0,0,0,0,1
他就變成了一隻小蟲子,0,0,0,0,0,1
飛進鐵扇公主的茶杯裡,0,0,0,0,0,1
等公主喝了茶,0,0,0,0,0,1
孫悟空就進入她肚子裡了,0,0,0,0,0,1
孫悟空在公主肚子裡又叫又跳,0,0,0,0,0,1
公主痛得哇哇叫,0,0,0,0,0,1
最後只好答應把芭蕉扇借給他,0,0,0,0,0,1
孫悟空拿了芭蕉扇,0,0,0,0,0,1
到了火焰山,0,0,0,0,0,1
用力一搧,0,0,0,0,0,1
山上的火卻越搧越大,0,0,0,0,0,1
這時候,0,0,0,0,0,1
他才知道這是一把假的芭蕉扇,0,0,0,0,0,1
孫悟空非常生氣,0,1,0,0,0,0
又變成了鐵扇公主的丈夫牛魔王的樣子,0,0,0,0,0,1
到芭蕉洞裡,0,0,0,0,0,1
和公主喝酒談天,0,0,0,0,0,1
等公主喝到半醉的時候,0,0,0,0,0,1
他說：「夫人,0,0,0,0,0,1
那把真扇子要收藏好,0,0,0,0,0,1
可別讓那隻猴子騙走了,0,0,0,0,0,1
」公主從口中吐出一把像葉子大小的扇子,0,0,0,0,0,1
交給孫悟空說：「這才是真的,0,0,0,0,0,1
」孫悟空一拿到真扇子,0,0,0,0,0,1
馬上變回原形跑了,0,0,0,0,0,1
最後,0,0,0,0,0,1
孫悟空用芭蕉扇把火焰山的火搧熄了,0,0,0,0,0,1
附近的人家又可以過著快樂的生活,1,0,0,0,0,0
求學與做人求學與做人是每個人必學的兩件事,0,0,0,0,0,1
求學的目的,0,0,0,0,0,1
在學習做人的道理,0,0,0,0,0,1
所以求學與做人是分不開的,0,0,0,0,0,1
到學校求學,0,0,0,0,0,1
不只是求得書本上的知識,0,0,0,0,0,1
更重要的,0,0,0,0,0,1
是還要把這些知識應用到日常生活裡,0,0,0,0,0,1
一般人往往把求學的範圍看得很狹窄,0,0,0,0,0,1
認為只有在學校裡求得的知識才是學問,0,0,0,0,0,1
這是很大的錯誤,0,0,0,0,0,1
其實學問的範圍很廣,0,0,0,0,0,1
除了書本上的知識,0,0,0,0,0,1
老師講授的道理,0,0,0,0,0,1
還有從生活中獲得的見聞都是學問,0,0,0,0,0,1
有些人把求學和做人當成是兩件事,0,0,0,0,0,1
所以只努力在追求知識上,0,0,0,0,0,1
其實不懂做人的道理,0,0,0,0,0,1
知識也發揮不了作用的,0,0,0,0,0,1
例如：做人虛假不實,0,0,0,0,0,1
不講信用,0,0,0,0,0,1
做事隨便草率,0,0,0,0,0,1
馬馬虎虎,0,0,0,0,0,1
這種人,0,0,0,0,0,1
有誰會去雇用他呢,0,0,0,0,0,1
那麼他的學問不是就沒有用了嗎,0,0,0,0,0,1
所以求學是為了工作,0,0,0,0,0,1
為了做人,0,0,0,0,0,1
而要有好工作又必須要求學,0,0,0,0,0,1
所以它們是相互影響的,0,0,0,0,0,1
總之,0,0,0,0,0,1
真正有學問的人,0,0,0,0,0,1
一定懂得做人的道理,0,0,0,0,0,1
只有那些擁有豐富學識,0,0,0,0,0,1
又懂得做人道理的人,0,0,0,0,0,1
才是真正受人尊敬的,0,0,0,0,0,1
種子的力量如果有人問：世界上什麼東西的力氣最大,0,0,0,0,0,1
答案會很不一致,0,0,0,0,0,1
有的說是象,0,0,0,0,0,1
有的說是獅子,0,0,0,0,0,1
事實上,0,0,0,0,0,1
這些答案都不對,0,0,0,0,0,1
世界上力氣最大的,0,0,0,0,0,1
是植物的種子,0,0,0,0,0,1
一顆種子可以顯現出來的力氣,0,0,0,0,0,1
是超越一切的,0,0,0,0,0,1
你見過被壓在瓦片和石塊下的小草嗎,0,0,0,0,0,1
它為了成長,0,0,0,0,0,1
為了接近陽光,0,0,0,0,0,1
不管上面的瓦片和石塊有多重,0,0,0,0,0,1
空間有多窄,0,0,0,0,0,1
它還是會從彎彎曲曲的小縫中,0,0,0,0,0,1
鑽到地面上來,0,0,0,0,0,1
它的根往土裡扎,0,0,0,0,0,1
芽向地面挺,0,0,0,0,0,1
努力迎接陽光,0,0,0,0,0,1
沒有人說小草是大力士,0,0,0,0,0,1
因為它不高大也不強壯,0,0,0,0,0,1
但是它卻有一種不可思議的力量,0,0,0,0,0,1
