一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
口水 由口腔黏膜與唾腺分泌液混合而成的黏液，可滋潤口腔，浸潤食物，分解澱粉，，口水
口紅 塗抹在嘴脣上，以修飾脣形和使脣色更鮮潤的化妝用品，，口紅
口號 不起草稿，隨口吟成的詩文，」也稱為「口占」  ，含有讚頌性質的讚美詩，多指獻給皇帝的頌詩，打油詩或順口溜，供口頭呼喊，帶有綱領性和鼓動作用的簡短句子，標語，口頭暗號，，口號
口袋 衣兜，以布、皮等製成，用來裝東西的用具，，口袋
口角 嘴、嘴邊，說話的技巧，說話時的慣用語，言語上的爭執或衝突，詬誶,吵嘴,是非，，口角
口試 用口頭問答的方式，來觀察、瞭解應考人的儀表、言辭、才識、能力的考試方法，面試，，口試
口語 專指談話所用的語言，議論，誹謗，訴訟關係人受審時，與案情有關的陳述，，口語
口音 帶有各民族或地方特色的語音，話裡的含義，言外之意，語音學上指只通過口腔而不經過鼻腔所發出的音，相對於鼻音和鼻化元音而言，如國語中的ａ、ｅ、ｏ、ｂ、ｐ、ｆ等，，口音
口頭 言語，食物的滋味，，口頭
古 過去久遠的時代，與「今」相對，過去的事物，古體詩，姓，如漢代有古霸，過去的、舊的，質樸，，古
古代 過去較遠的時代，歷史上稱十六世紀以前為「古代」，，古代
古典 古代的典章制度，古代流傳下來的典籍，凡屬於過去及傳統的風格，稱為「古典」，，古典
古怪 奇異，蹊蹺　2.怪僻，不同尋常，，古怪
古書 古代的典籍或著作，，古書
古物 古代的器物，，古物
古籍 古書，，古籍
古老 通曉故事的老人，陳舊的，時代久遠的，陳舊，，古老
古跡 古代的遺跡，」也作「古蹟」，遺跡，，古跡
古蹟 古代流傳下來的遺蹟，」也作「古跡」，，古蹟
句 由兩個或兩個以上的字詞組成，含有主語、述語，能表達一個完全的意思的，稱為「句」，量詞，計算言語的單位，古代由下傳話以告上的禮制，同「勾」(二)，屈曲、彎曲，謙恭，搜捕、拘拿，鉤子，姓，如春秋時越王句踐，繫絆、停滯，，句
句子 由單詞或複詞聯綴而成，表示完整意義的獨立語言單位，必須有代表人、事或物的主語，並有說明主語的謂語，如「鳥飛」、「孔子是聖人」，比喻冷言冷語，，句子
另 再、分別，，另
另外 除此以外，別的,其他,此外，，另外
只 僅，儘，但、而，語尾助詞，無義，姓，如明代有只好仁，量詞，計算物體件數的單位，，只
只好 只能，在無可奈何中表示將就的意思，剛好，，只好
只得 只好，」也作「只索」，，只得
只是 不過是，但是，只因為，，只是
只有 唯有，用於連接句子，表示須具備必要的條件方可，下文常有「才」、「方」、「乃」等字相呼應，惟有，，只有
只要 只須，用於連接句子，表示若具備足夠條件即可，下文常有「就」、「都」、「便」等詞相呼應，只消，，只要
叫 呼喊，鳴，稱做、稱為，召喚、呼喚，多含命令口氣，僱用、點購，使、讓、令，被、受，，叫
叫喊 大聲喊叫，吶喊,叫囂,叫嚷,吆喝，，叫喊
叫好 對於精彩的表演大聲喝采、喊「好」，表示讚賞，喝采,喝彩，，叫好
召開 召集舉行，，召開
召集 通知人們聚集起來，調集,集合，軍事上為作戰、補給、訓練、演習、輔助戰時勤務，以及點驗或校閱等的需要，而實行的常備兵預備役、補充兵預備役與國民兵役等之集中，我國兵役法第三十八條中將召集區分為動員召集、臨時召集、教育召集、勤務召集、點閱召集五種，，召集
可 肯定、贊成、贊同，適宜，病癒、痊癒，當、對著，值得、堪，能夠，卻，約略、約計，豈，表示疑問，真、確實，但是、可是，用於句中，表示加強語氣，美好的，姓，如唐代有可中正，參見「可汗」條，，可
可以 能夠，不妨,能夠，表示具有某種用途，甚、很，不壞、尚好，，可以
可喜 令人高興，值得歡喜，惹人憐愛，，可喜
可怕 讓人害怕，恐怖,恐慌,恐懼，只怕，含感嘆之意，，可怕
可惜 令人惋惜，惋惜，應予珍惜，惹人喜愛，，可惜
可惡 令人厭惡，可憎，，可惡
可愛 討人喜愛，流行語，可憐沒人愛，，可愛
可憐 令人憐憫，哀憫，惹人喜愛，令人羨慕，令人惋惜，，可憐
可是 但是，表示轉折的語氣，但是,然而，豈是、難道是，表示疑問，卻是，還是，表示疑問，恰好、正好是，，可是
可望 可以期盼，指有希望，，可望
可樂 含有可樂果香液的軟性飲料，為英語cola的音譯，如可口可樂、百事可樂，令人欣喜，，可樂
可疑 令人懷疑，懷疑,猜疑，，可疑
可笑 形容人的言語、動作或形貌非常滑稽，因不合情理，令人恥笑，表感嘆或譏諷之意，，可笑
可能 表示可以實現，能夠　2.或許,也許，或許、也許，怎能、難道，能否，，可能
可行 可以實行、行得通，，可行
可見 可以看見、看得到，可以想見、可以推論，，可見
可觀 值得看，有觀賞價值，表極甚之詞，，可觀
可靠 可以信賴，靠得住,信得過，真實可信，，可靠
台 「臺」的異體字，大陸地區浙江省台州、天台山等地之台的舊讀，喜悅，我，古人稱自己為「台」，表示疑問的意思，相當於「何」、「什麼」，姓，如明代有台元，，台
史料 有關歷史的文獻資料，如明朝董復表編的《弇州史料》，，史料
右 表示方向、位置，相對於「左」，地理位置上，方向面向南時，指西邊，上位，豪強，姓，如漢代有右公弼，佐助，親近、袒護，崇尚，，右
右邊 靠右手的一邊，」也作「右面」，，右邊
司令 指揮所屬軍隊，並發號施令的高階將領，如憲兵司令、衛戍司令，也稱為「司令官」  ，職官名，元朝鹽場每場設司令一員，職司類似明清時的鹽課司大使，，司令
司機 開車的人，管理機器，管理機器的人，，司機
吃 口中咀嚼食物後嚥下，有時吸、飲液體也稱為「吃」，吸入、吸收，下棋、玩牌時奪取對方的棋子或牌張，吞沒，沉入，用來說明船舶下沉於水面下程度的用語，擔負，捱、受，理會、接納，耗費，說話結巴、言語困難的樣子，形容笑聲，，吃
吃力 用力、費力，」也作「吃勁」，費力,辛苦，，吃力
吃喝玩樂 泛指一般不正經、沒有節制的娛樂，，吃喝玩樂
吃苦 遭受痛苦，受苦，耐苦，，吃苦
吃虧 受損失或遭汙辱，在某方面條件不利，，吃虧
吃飯 進餐，維持生活，，吃飯
吃驚 受驚，嚇了一跳，受驚，，吃驚
各 指代一定群體中的不同個體本身，每，，各
各位 諸位、每一位，列位,諸君,諸位，，各位
各式各樣 許多不同的式樣和種類，林林總總,各種各樣,各色各樣,形形色色,許許多多，，各式各樣
各界 各階層、各層面，，各界
各自 各人自己，」，自己，事物的各個自身，，各自
各行各業 各種不同的行業，指所有的行業，，各行各業
吆喝 高聲呼喝，」也作「么喝」、「喓喝」，叫喊，，吆喝
合 關閉、合攏，會、聚，交媾、交配，比對、對照，相符、不違背，調和、配製，交戰、交鋒，折算，配偶，盛放物品的器皿，量詞，計算交手次數的單位，相當於「回」、「次」，姓，如春秋時宋國有合左師，全部的、整個的，和諧、融洽，共同、一起，應該，量詞，計算容量的單位，一升的十分之一，，合
合不來 無法融洽相處，，合不來
合作 在同一目的下，作共同的努力，共同著述創作，合奏、共同演奏，合乎法度的詩文，，合作
合併 由分散而聚合在一起，」也作「合并」，歸併，，合併
合同 雙方各執以為憑據的契約，契約,協定，齊心協力，會合、會同，相同，，合同
合唱 將多數人分成幾個聲部，同時演唱多聲部的曲調，如按音色分，則有童聲合唱、女聲  合唱、男聲合唱和混聲合唱四種，如按聲部分，則可分為二部合唱、三部合唱、四部合唱等，若干人齊聲歌唱，，合唱
合家 全家，闔家,全家，，合家
合得來 性情、志趣相投，相處融洽，，合得來
合意 表達心意，滿意,對勁，具有相同的意願，滿意、合乎心意，，合意
合成 由部分結合成整體，二種或二種以上的反應物，經化學變化，集合而成新的產物，稱為「合成」，通常新　產物的分子量較反應物為大，，合成
合格 符合規定的標準，，合格
合法 合乎法令規定，正當，合乎文章的理法，，合法
合理 合乎道理、事理，公道，，合理
合算 點算，總合計算，較為有利、不吃虧，，合算
合約 雙方同意所簽定的契約，，合約
合適 適宜、恰當，」也作「合式」、「合宜」，適合,適宜，，合適
吉他 樂器名，為英語guitar的音譯，一種六弦撥弄樂器，與小提琴同源，十六世紀時，西班牙人首先發明五弦吉他，至十八世紀末，德國人加上第六條弦，由於簡單易學，頗受一般年輕人的喜愛，，吉他
吉利 吉祥順利，吉祥，，吉利
吉祥 吉利祥瑞，，吉祥
吉祥如意 諸事吉利順遂合於心意，，吉祥如意
吊 懸掛，收回、扣留，提取，到喪家慰問祭奠，懸掛的，量詞，古代計算錢幣的單位，，吊
吊橋 架於城壕上，可隨時起落的輕便橋，」也作「弔橋」，以大鋼索為主體，用許多鐵條把橋面吊在鋼索上的橋梁，，吊橋
同 會合、聚集，統一、齊一，一齊分享、從事等，贊成，一樣的，一起、共同，和、與、跟，和諧、和平，契約，姓，如唐代有同谷，巷弄、小街道，，同
同事 同一件事，相與共事，在同一單位工作的人，」也作「同仁」、「同人」，，同事
同伴 伙伴，同行的人，伴侶,朋友,同夥,伙伴,夥伴，共事的人，，同伴
同化 使不相同的事物逐漸變成相近或相同，民族傳統不同的個人或文化體系，在接觸後，被溶入社會上占支配地位的文化，而改變其原有的習慣與觀念，且接受了新環境與新觀念融化的社會過程，語音上兩個不相同或不相近的音連在一起，而變為相同或相似的音，此語音變化稱為「同化」，，同化
同學 同師受業，同師受業的人，同窗,同硯，，同學
同心 齊心，志同道合，知己，共同的心願、理想，，同心
同志 志趣、志向相同的人，同道，稱同一個政黨的人，泛稱非異性戀者，包括同性戀、雙性戀、跨性別等，多指同性戀者而言，，同志
同性戀 以同性者為對象，建立親密關係或以此性傾向做為主要自我認同的行為或現象，，同性戀
同情 同一心思，指好惡觀念、意見相同，同謀、同夥，一種情緒，指對於他人的遭遇，在情感上發生共鳴，或是對他人的行為表示理解，，同情
同意 心意相同，意旨相同，贊成，答應,贊同,允諾，，同意
同時 同一時間，並且，，同時
同業 從事相同行業的人，從事相同的行業，一同受業研習的人，，同業
同樣 相同，沒有差異，，同樣
同胞 同父母所生的兄弟姊妹，同國的人，，同胞
同鄉 同一鄉里或同籍貫的人，鄉親，，同鄉
名 人的稱號，事物的稱號，聲譽，表示概念的名稱，」(2) 計算排名的單位，」指稱、形容，有名的，貴重的、出色的，，名
名下 在某人名義之下，，名下
名勝 著名的古蹟或風景優美的地方，勝景，有名望的才俊之士，，名勝
名單 記載人名的單子，，名單
名堂 事物的名稱，名義　2.名目，手段、花樣，成就、結果，，名堂
名字 姓與名，名與字號，古代男子一出生就命名，二十歲成人，行冠禮又加字，合稱「名字」，後來在字之外，又有號，自稱用「名」，別人為表示禮敬，以字或號相稱，事物的名稱，名譽、聲望，，名字
名氣 聲譽，」也作「名聲」、「名譽」，名聲,名望,名譽，，名氣
名片 載有本人姓名、地址、電話、職位等，用來自我介紹或作為與人聯繫的紙片，著名的影片，，名片
名牌 標出人名、物名的牌子，出名的品牌，，名牌
名稱 名目稱謂，名目，聲名稱譽，，名稱
名聲 名氣、聲譽，」也作「名氣」、「名譽」，名氣,名望,名譽，，名聲
名號 名目，名聲、美名，名字、稱謂，，名號
名詞 表示人、地、事、物等名稱的詞，如王陽明、臺北、教育、樹木等，分專有名詞、普通名詞二種；或分具體名詞、抽象名詞二種，，名詞
名額 限定的人數，名目，，名額
吐 使東西從口中出來，發出、說出，釋放、放出，摒棄、拋棄，文詞、言詞，由胃逆出，把吞沒的東西退還，，吐
向 北面的窗戶，方位，意志之歸趨，國名，周代諸侯國之一，故址約在今大陸地區山東省莒縣南，姓，如晉代有向秀，對著、朝著，崇尚、景仰，偏袒、偏愛，臨近、接近，昔日、從前，一直以來、從來，方才、剛才，表動作的方向、對象，，向
向來 一向、從來，本來,從來,原來，以後、後來，剛才，，向來
吝嗇 氣量狹小，用度過分減省，鄙吝,吝惜,小氣,小器，，吝嗇
吞 不加以咀嚼就整個嚥下去，兼併、消滅，包含、容納，姓，如漢代有吞景雲，，吞
吞吞吐吐 形容說話不直截，要說不說的樣子，吞吐其詞,含混其詞,支支吾吾,支吾其詞，，吞吞吐吐
吟誦 吟詠歌誦，，吟誦
否則 不然，假如不這樣，不然，，否則
否定 對事物作不贊成的決定，否認，，否定
否決 對某事作否定的議決，反對，，否決
否認 不承認，否定，，否認
吧 酒吧，為英文 bar的音譯，吸（菸），形容短暫的爆裂聲，只用於對舉的句型中，表示猶疑、兩難的語氣，，吧
吩咐 叮囑，多指長輩囑告晚輩，含有命令、派遣的語氣，丁寧,叮嚀,叮囑,交代,囑咐,囑託,派遣，，吩咐
含 東西銜在嘴裡，不吐出也不吞下，裡面藏著，存在著，包容、容納，懷著，忍受、忍耐，古代塞在死者嘴裡的珠玉，一種古代禮俗，將珠玉塞在死者的嘴裡，稱為「含」，，含
含笑 面帶笑容，微笑，比喻花初開時，，含笑
含量 物質中包含某種成分的數量，，含量
吭聲 發出聲音或說話，，吭聲
吵 攪擾，爭鬧，聲音雜亂，，吵
吵嘴 爭吵、拌嘴，口角，，吵嘴
吵架 爭執，以言語相鬥，，吵架
吵鬧 爭吵，發生口角，譁鬧,嘈吵，吵雜、不安靜，，吵鬧
吶喊 高聲喊叫，常用於壯聲勢、助威之時，大喊,大叫,叫喊，，吶喊
吸 用口或鼻將氣體引入體內，飲、喝，攝取、容納，，吸
吸取 吸收採取，吸收，，吸取
吸引 誘引，，吸引
吸收 吸取容納，汲取,吸取,攝取，，吸收
吸毒 吸食毒品，如吸食鴉片、大麻、安非他命等，，吸毒
吸菸 抽菸，抽菸，，吸菸
吸食 用嘴吸入或吸進，，吸食
吹 噘著嘴將氣體用力從口中呼出來，氣流順著某方向流動，誇口、說大話，事情作罷或關係斷絕，參見「鼓吹」(一)條，，吹
吹牛 誇口說大話，誇口,吹法螺，，吹牛
吻 嘴脣，用嘴脣接觸，，吻
呆 痴愚、笨傻，反應不靈敏，發愣，表情死板、神志恍惚，(一)之又音，，呆
呈 顯露，奉上，舊時凡下級對上級的呈請或報告均用呈，現行公文則是對總統有所呈請或報告時用之，，呈
呈獻 恭敬的獻上、呈給，，呈獻
呈現 顯出、顯現，表現,浮現,顯露,顯示,展現,出現,湧現，，呈現
告 訴說、報告，請求，揭發、提出訴訟，對大眾宣布的語言或文字，訴訟的兩方，休假，姓，如戰國時有告不害，規勸，參見「忠告」條，參見「告朔」條，，告
告別 辭別，離別,告辭,握別，，告別
告狀 訴說事件的狀況，請求司法機關審理案件，起訴，向某人的尊長或上級投訴某人的罪行，，告狀
告訴 被害者向高級長官或機關告發，稱為「告訴」，通知，，告訴
告辭 告別，拜別,離別,離去,告別,辭行，，告辭
呢 一種毛織物，參見「呢喃」條，表示疑問的語氣，表示加強、確定的語氣，，呢
周 完密、嚴謹，全部、整個，(2) 參見「北周」條，(3) 唐朝武則天稱帝，改國號為「周」，(4) 參見「後周」條，環繞區域的外圍部分，量詞，計算環繞次數的單位，滿一年，姓，如明代有周順昌，環繞，救濟、援助，普遍、全、都，，周
周到 面面俱到，沒有疏漏，全面,周密,周全,周詳,周至，，周到
周圍 環繞在物體四周的部分，周遭,四周，，周圍
周密 周全細密，精密,細密,周到,周詳,嚴密，人名，（西元1232～1298）字公謹，號草窗，宋濟南人，流寓吳興，工詩詞，作品風格纖細奇險，著有《癸辛雜識》、《齊東野語》、《武林舊事》、《草窗詞》、《草窗韻語》等書，嘗選南宋歌詞為絕妙好詞，，周密
周詳 周到而詳盡，詳細,周密,周到，，周詳
周轉 資金的運轉，，周轉
周遊 四處遊歷，漫游,漫遊，，周遊
周邊 四周、周圍，附屬，，周邊
味 舌頭嘗東西所得到的感覺，鼻子聞東西所得到的感覺，感受、旨趣、意義，量詞，計算食物或中藥的單位，菜餚，品嘗，研究、體察，，味
味兒 滋味，茄子跑出這個味兒來了，我們也不用種糧食，只種茄子了，」也作「味道」，氣味，也作「味道」，趣味，」也作「味道」，意味，，味兒
味精 一種用豆、麥等物製成的調味品，，味精
味道 體察道理，舌頭嚐東西所得到的感覺，」也作「味兒」，滋味，鼻子聞東西所得到的感覺，趣味、意味，」也作「味兒」，，味道
呼 吐氣，與「吸」相對，大聲吶喊，招、喚，稱、謂，表感嘆的語氣，形容風吹動的聲音，姓，如漢代有呼子先，，呼
呼叫 呼喊叫喚，呼喚，電臺上用呼號叫對方，，呼叫
呼吸 生物體與外界環境進行氣體交換的過程，如低等動物靠皮膚呼吸；人和高等動物用肺呼吸，吸入新鮮的空氣，呼出體內的二氧化碳，植物則透過表面的組織進行氣體交換　，形容氣勢盛大，瞬息、頃刻之間，，呼吸
呼籲 向社會大眾大聲疾呼，請求援助、支持，號召，，呼籲
命 差遣、下命令，取定，以為，生物生存的機能，先天注定的窮通得失本分，不是後天所能改變的，上級對下級的指示，，命
命中 射中、擊中目標，擲中﹑射中，，命中
命令 發出號令，使人遵行，號令﹑下令﹑敕令﹑飭令，上對下的號令，，命令
命名 取名，定名，，命名
命運 天命氣運，」也作「命途」、「命數」，運道﹑運氣，，命運
和 各數相加的總數，適中、恰到好處、剛柔並濟的常道，和平、停戰，日本的別名，姓，如漢代有和武、晉代有和嶠，敦睦、調諧，連同，溫順的、安詳的，溫暖的，對、向，與、跟，聲音相應，依原詩格律或內容作詩以酬答他人，溫暖的，之語音，牌戲中牌張已湊齊成副而獲勝稱為「和」，攪拌、混合，，和
和善 溫和善良，良善,和睦,和藹,善良,仁愛，，和善
和好 互相和睦親善，和睦,融洽，，和好
和平 和洽安寧，平靜,安寧，沒有戰爭的狀態，溫和，，和平
和樂 安和快樂，」，和樂
和氣 天地間陰陽調合而成的氣，萬物由此而生，態度溫和可親，和睦融洽，，和氣
和睦 彼此相處親愛和善，和好,親善，，和睦
和解 雙方停止爭執，歸於和平，息爭，法律上謂當事人約定，互相讓步，以終止爭執或防止爭執發生之契約，，和解
和諧 和睦諧順，』」互相配合、協調，和順馴服，，和諧
咖啡 植物名，為英語coffee的音譯，茜草科咖啡樹屬，陰光性常綠灌木，原產於東非阿比西尼亞，現多栽培於熱帶地區，高約四至六公尺，側枝對生或輪生；花白色，核果橢圓形，成熟時呈黃紅色或紫紅色，內含兩顆種子，種子為咖啡原料，焙乾後研成細末可沖泡為飲料，有健胃及興奮神經之效，，咖啡
咬 用牙齒切斷、壓破或夾住東西，用工具鉗住或卡住東西，誣諂、牽連，吐字、發音，皮膚與植物或化學製品碰觸而過敏或受侵蝕，認定不變，參見「咬咬」條，，咬
咱 我，我們，包括聽話者，參見「咱家」條，，咱
咱們 我們，我們，，咱們
咳嗽 喉部或氣管的黏膜受痰或氣體的刺激，引起反射作用，把氣體用力排出，比喻出聲、說話，，咳嗽
哀傷 悲痛，悲痛,哀悼,哀痛，，哀傷
哀痛 哀傷悲痛，悲傷,傷心，，哀痛
品味 食物餚饌，」品嘗滋味，後引申成對事物具高度品鑑能力，品嘗,咀嚼，，品味
品德 品性道德，品格﹑品行﹑品性﹑德性﹑行止﹑人品﹑人格，，品德
品種 產品的種類，稱經人工篩選及培育，具一定經濟價值和共同遺傳特點的動、植物，，品種
品質 物品的質地，質地，，品質
哄 許多人同時發聲，欺騙，逗弄、照顧小孩，，哄
哈哈大笑 張口大聲笑，，哈哈大笑
哈哈笑 大笑，，哈哈笑
員工 職員、工人，，員工
哥哥 」』睿宗行四故也，』玄宗行三故也，」也作「歌歌」，(3) 對子姪輩的暱稱，今日為始，便是你師父了也，」(4) 對平輩的敬稱，，哥哥
哪 表示疑問，怎，表示反問，參見「哪吒」條，表示疑問，為「哪（ㄋㄚˇ）一」合音成ㄋㄞˇ，再轉成ㄋㄟˇ，表疑問，，哪
哪怕 就算是，，哪怕
哭 因傷心或激動而流淚，甚至發出悲聲，弔唁，傷心的向人訴說，，哭
哭泣 哭，墮淚,流淚,抽泣,啜泣,飲泣,隕泣，，哭泣
哲學 哲學一詞在西方原指愛智，是一種藉由人的理智去探討宇宙間萬事萬物的最高原理之學問，在東方，哲學除包含上述意義外，尚包含如何通過實踐行為以實現道德理想人格，形而上學，，哲學
哺乳動物 屬最高等的脊椎動物，其特點是哺乳動物皆是靠母體乳腺分泌乳汁哺乳幼兒；除單孔類是卵生外，其餘皆是胎生，，哺乳動物
售 賣出，實現、實行，，售
售貨員 售賣貨物的工作人員，，售貨員
唯一 獨一無二，獨一，，唯一
唱 發出歌聲，高聲呼叫，倡導，泛稱詩詞歌曲，，唱
唱歌 吟唱歌曲，，唱歌
唱腔 戲曲演員歌唱時的曲調，各地方戲曲因所使用的方言不同，其唱腔曲調亦各異其趣，每個劇種或曲種都有一定的唱腔，同一唱腔又因演員行腔的不同而形成各種流派，如京劇中有譚派、汪派及孫派等，，唱腔
唸 吟誦、誦讀，，唸
商人 從事買賣的人，販子，特指商朝人，，商人
商品 為買賣而製造的物品，可分為原料、半成品和成品，，商品
商場 聚集在一棟或相連幾棟建築物內以進行商品交易的地方，市場，商業界，，商場
商店 買賣貨物的店鋪，店鋪,店肆,市廛,市肆，，商店
商業 以營利為目的，獨資或合夥方式經營的事業，貿易，，商業
商榷 商量、討論，」也作「商搉」，協商,商討,商量,商議，，商榷
商標 為表彰自己所生產、製造、加工、揀選、批售或經紀的商品，而以文字或圖畫等作成的一種標記，以防止他人誤認或冒用，牌號,招牌,字號，，商標
商討 商量討論，協商,商量,商榷,商議,諮議，，商討
商量 交換意見，討論,接洽,籌商,籌議,商討,商榷,商酌,商議,咨詢,磋商,磋議，醞釀，」也作「商略」，估量、料想，」也作「商略」，，商量
問 向人請教，責備、追究，干預、干涉，審訊、判決，為表示關切而探望、拜候，饋贈、贈送，音信、書信，名譽，通「聞」(二)，，問
問世 著作物出版或新產品推出，進入社會服務，，問世
問候 探問人的起居，是客套的常禮，請安,致意,存候,存問,慰勞,慰問，，問候
問好 問候人家是否安好，為常用的客套話，，問好
問題 事態的嚴重性足以引人研究討論，或尚待解決者，考試時的題目，，問題
啞 人或動物因生理缺陷或疾病而喪失語言的功能，發音枯竭，形容聲音枯澀、低沉不圓潤，不說話、沒聲音的，參見「啞啞」(二)條，形容烏鴉之類的叫聲，形容小兒學說話的聲音，語助詞，，啞
啟 打開、展開，開導、教導，動身、開始，陳述、告訴，開闢、開拓，古代稱官信為「啟」，今用來通稱書信，人名，夏禹之子，禹曾讓位於益，但人民懷念禹的功績，乃擁戴啟繼位，開君主世襲之風，姓，如五代十國時後燕有啟崙，，啟
啟事 陳述事情，陳述事情的奏章或函件，為了公開聲明某事，而登在報刊或貼在布告欄上的文字，，啟事
啟發 誘導開發，使其領悟通曉，開闢,開導,啟迪,啟示,誘導，闡揚、發揮，，啟發
啟示 啟發指示，使人有所領悟，開發,啟發,啟迪,誘導，使人有所領悟的啟發與指示，，啟示
啟程 動身前往，動身,出發，，啟程
啟航 開始航行，動身,啟碇,啟程，，啟航
啤酒 以大麥為主要原料，加葎草或啤酒花所釀製成的酒，為英語beer的音譯，味道微苦，含泡沫及特殊香味，是酒精含量較低的一種酒，，啤酒
啦 形容歌唱、歡呼時的聲音，了(．ㄌㄜ)、啊(．ㄚ)二字的合音，作用同「了」(．ㄌㄜ)，但語氣較重，，啦
啼 號哭，鳥獸的鳴叫，，啼
啼哭 因悲傷或過分激動而放聲哭泣，猿的叫聲，，啼哭
喂 招喚的聲音，用來引起對方的注意，餵養，，喂
善於 在某方面具有特長，擅長，，善於
喇叭 樂器名，一種吹奏樂器，多為銅製，上端小，身細長而漸大，尾端圓敞，軍中多用來傳達命令，可分為法國號、小號、中音號、低音號、長號等，揚聲器的別名，參見「揚聲器」條，裝置在交通工具內，將電流的變化轉變成聲音的設備，用手操作，具警告作用，形容人多話，到處宣傳，，喇叭
喉嚨 咽喉的俗稱，參見「咽喉」條，，喉嚨
喊 大聲呼叫，叫（人）、招喚，，喊
喊叫 大聲呼叫，，喊叫
喘 急促呼吸，呼吸、深呼吸，氣息，，喘
喜劇 一種戲劇類型，主要以誇張、幽默及機智的手法，取悅觀眾或嘲諷醜惡、落後的現象，從而肯定美好與進步的事物，由於著筆於人性的現實面和弱點，因此，不同的時代及文化背景，往往有不同的喜劇形式，西方喜劇依內容和手法的差別，一般可分為情節喜劇、抒情喜劇、諷刺喜劇和鬧劇等，中國雖無喜劇之專稱，但仍有不少喜劇劇目，大都在諷刺反面形象的同時，歌頌主角的勇敢和機智，笑劇，，喜劇
喜悅 高興，高興,忻悅,欣忭,欣喜,愉快，，喜悅
喜愛 喜歡愛好，喜好,喜歡,愛好，，喜愛
喜歡 快樂、高興，快樂　2.喜愛，喜愛，，喜歡
喜氣 祥瑞之氣，快樂的神色或氣氛，，喜氣
喜酒 結婚時，宴請賓客的酒或酒席，，喜酒
喝 飲用液體、飲料或流質食物，聲音幽噎嘶啞，大聲呵斥，高聲呼叫，表示驚訝的語氣，，喝
喪事 人死後的斂葬、哀祭等事宜，凶事，，喪事
喪失 失去，損失，，喪失
喪氣 失去強盛的志氣，精神頹喪，頹喪，倒楣，感到不吉利，，喪氣
喪生 失去生命，即死亡，」也作「喪命」，死亡,亡故，，喪生
單 單獨、一個，與「複」相對，奇數的，與「雙」相對，薄弱、孤零，不複雜、少變化，零的代稱，衣物是孤層的，記載事物的紙張，單層的布或衣物，僅、只，孤獨的、獨自一人的，參見「單于」條，參見「單縣」條，姓，如明代有單安仁，，單
單位 計算物體數量的標準，如公尺、公斤等，機關團體組織的部門，僧房中僧人坐禪的坐位上，通常貼有各僧的名單，故稱僧人的坐位為「單位」，，單位
單價 商品的單位價錢，，單價
單子 記有文字的紙條，票據,單據，，單子
單據 凡用作憑據的單子，稱為「單據」，票據,單子，，單據
單獨 獨自一人，獨自,孤單,隻身，，單獨
單純 人或事物簡單不複雜，簡單,純潔,純粹，，單純
單行道 僅供車輛單方向行駛的道路，，單行道
單調 簡單，缺乏變化的音調，詞調中獨自成調而不分片的，稱為「單調」，如憶江南、如夢令等，形容簡單呆板，少變化而無趣味，中小學教師申請片面調動服務學校，，單調
單身 獨身無家室的人，獨身　2.隻身，獨自一人，，單身
嗎 表疑問語氣，表停頓語氣，有提示下文的作用，參見「嗎啡」、「嗎呼」等條，，嗎
嗓子 喉嚨，聲音，，嗓子
嗜好 凡本性所愛好的，皆稱為「嗜好」，今指特別深的愛好，愛好，，嗜好
嗨 表示傷感、惋惜、驚訝的語氣，表示親切的招呼語，為英語hi的音譯，形容呼喝聲，，嗨
嘀咕 低聲說話，心中忐忑不安，，嘀咕
嘗試 試一試、試驗，試驗，試探，，嘗試
嘛 用作句末語助詞，參見「喇嘛」條，表疑問語氣，同「嗎」(一)，，嘛
嘮叨 囉囉嗦嗦話說個不停，」也作「叨嘮」，絮聒，，嘮叨
嘴 本指鳥口，後泛指人與動物的口，器物上形狀或功能像嘴的部位，突出如口的地形，比喻說話，，嘴
嘴巴 嘴，臉頰，，嘴巴
嘴脣 脣，，嘴脣
嘴臉 面貌、模樣，面目  1.面貌,面孔,面容，面子，面目  1.面貌,面孔,面容，臉色、態度，，嘴臉
器具 工具，，器具
器官 生物內由多種組織組合而成，具特定功能、形態的功能單位，如胃、腸是消化器官，輸尿管、膀胱是排泄器官，，器官
器材 用具和材料，工具，，器材
噪音 振動不規則，聽起來令人感覺不快的聲音，稱為「噪音」，嘈雜、刺耳的聲音，，噪音
噴 急遽湧射而出，吐出，具湧射功能的，參見「嚏噴」條，氣味撲鼻，稱蔬果、魚蝦等正大量上市的時期，北方方言，量詞，計算農作物在一定時期內成熟或開花次數的單位，，噴
