0,1,2,3,4
v1 + r1 + uj1 + 人1,v1 + r1 + uj1 + 誰,喜歡它的人,喜歡它的誰,人
v1 + r1 + v2 + n1 + d1 + v3 + uj1 + 物1,v1 + r1 + v2 + n1 + d1 + v3 + uj1 + 什麼,說這是全世界最好吃的水果,說這是全世界最好吃的什麼,水果
d1 + v1 + r1 + uj1 + 人1,d1 + v1 + r1 + uj1 + 誰,不喜歡它的人,不喜歡它的誰,人
m1 + v1 + 物1,m1 + v1 + 什麼東西,一聞到榴槤,一聞到什麼東西,榴槤
d1 + v1 + 物1 + v2,d1 + v1 + 什麼 + v2,就掩著鼻子離開,就掩著什麼離開,鼻子
物1 + d1 + v1 + n1,什麼東西 + d1 + v1 + n1,聽說榴槤很有營養,什麼東西很有營養,聽說榴槤
物1 + uj1 + 物2 + v1 + a1 + n1,什麼東西 + uj1 + 物2 + v1 + a1 + n1,山竹的外皮是深紅色,什麼東西的外皮是深紅色,山竹
物1 + uj1 + 物2 + v1 + a1 + n1,物1 + uj1 + 什麼 + v1 + a1 + n1,山竹的外皮是深紅色,山竹的什麼是深紅色,外皮
物1 + d1 + v1 + a1 + uj1 + 物2,什麼東西 + d1 + v1 + a1 + uj1 + 物2,波羅蜜也是神奇的水果,什麼東西也是神奇的水果,波羅蜜
物1 + d1 + v1 + a1 + uj1 + 物2,物1 + d1 + v1 + a1 + uj1 + 什麼,波羅蜜也是神奇的水果,波羅蜜也是神奇的什麼,水果
m1 + m2 + 物1 + v1 + m3 + m4,m1 + m2 + 什麼東西 + v1 + m3 + m4,一個波羅蜜有十斤左右,一個什麼東西有十斤左右,波羅蜜
d1 + v1 + m1 + b1 + uj1 + 物1,d1 + v1 + m1 + b1 + uj1 + 什麼,只靠著一根短小的蒂,只靠著一根短小的什麼,蒂
v1 + p1 + v2 + f1 + v3 + 物1 + nr1,v1 + p1 + v2 + f1 + v3 + 什麼 + nr1,可以稱得上是水果王國,可以稱得上是什麼王國,水果
v1 + 人1 + s1 + a1 + a2 + ul1 + 物1,v1 + 人1 + s1 + a1 + a2 + ul1 + 什麼,像是怪獸身上長滿了鱗片,像是怪獸身上長滿了什麼,鱗片
v1 + 人1 + s1 + a1 + a2 + ul1 + 物1,v1 + 誰 + s1 + a1 + a2 + ul1 + 物1,像是怪獸身上長滿了鱗片,像是誰身上長滿了鱗片,怪獸
q1 + uj1 + 物1,q1 + uj1 + 什麼東西,朵朵的浪花,朵朵的什麼東西,浪花
v1 + n1 + a1 + 物1 + uj1 + 人1,v1 + n1 + a1 + 物1 + uj1 + 誰,像穿著白戰衣的勇士,像穿著白戰衣的誰,勇士
r1 + a1 + uj1 + 物1,r1 + a1 + uj1 + 什麼,這種美麗的景色,這種美麗的什麼,景色
s1 + v1 + uj1 + v2 + v3 + uj2 + 物1,s1 + v1 + uj1 + uj1 + v2 + v3 + 什麼,耳邊聽到的是呼呼的風聲,耳邊聽到的是呼呼什麼,風聲
v1 + 人1 + v2 + d1 + d2 + a1,v1 + 誰 + v2 + d1 + d2 + a1,讓我覺得大自然真偉大,讓誰覺得大自然真偉大,我
n1 + uj1 + 人1 + p1 + 物1 + v1 + 人2 + 事1,n1 + uj1 + 人1 + p1 + 什麼 + v1 + 人2 + 事1,旅社的服務員用電話叫我們起床,旅社的服務員用什麼叫我們起床,電話
n1 + uj1 + 人1 + p1 + 物1 + v1 + 人2 + 事1,n1 + uj1 + 人1 + p1 + 物1 + v1 + 人2 + 什麼事情,旅社的服務員用電話叫我們起床,旅社的服務員用電話叫我們什麼事情,起床
n1 + uj1 + 人1 + p1 + 物1 + v1 + 人2 + 事1,n1 + uj1 + 誰 + p1 + 物1 + v1 + 人2 + 事1,旅社的服務員用電話叫我們起床,旅社的誰用電話叫我們起床,服務員
人1 + v1 + ul1 + a1 + uj1 + 物1,人1 + v1 + ul1 + a1 + uj1 + 什麼,我們吃了簡便的早餐,我們吃了簡便的什麼,早餐
人1 + v1 + ul1 + a1 + uj1 + 物1,誰 + v1 + ul1 + a1 + uj1 + 物1,我們吃了簡便的早餐,誰吃了簡便的早餐,我們
z1 + 事1 + 事2,z1 + 事1 + 什麼事情,靜靜等待日出,靜靜等待什麼事情,日出
事1 + uj1 + 物1 + d1 + v1 + ul1,事1 + uj1 + 什麼 + d1 + v1 + ul1,日出的奇景就要登場了,日出的什麼就要登場了,奇景
v1 + s1 + uj1 + 物1 + v2 + 物2,v1 + s1 + uj1 + 什麼 + v2 + 物2,看到天上的灰雲轉換成紫雲,看到天上的什麼轉換成紫雲,灰雲
v1 + s1 + uj1 + 物1 + v2 + 物2,v1 + s1 + uj1 + 物1 + v2 + 什麼,看到天上的灰雲轉換成紫雲,看到天上的灰雲轉換什麼,成紫雲
物1 + d1 + v1 + d2 + 物2,物1 + d1 + v1 + d2 + 什麼,紫雲又轉換成紅雲,紫雲又轉換成什麼,紅雲
物1 + d1 + v1 + d2 + 物2,什麼 + d1 + v1 + d2 + 物2,紫雲又轉換成紅雲,什麼又轉換成紅雲,紫雲
物1 + d1 + v1 + n1 + uj1 + 物2,什麼 + d1 + v1 + n1 + uj1 + 物2,紅雲漸漸變成橘色的雲,什麼漸漸變成橘色的雲,紅雲
物1 + d1 + v1 + n1 + uj1 + 物2,物1 + d1 + v1 + n1 + uj1 + 什麼,紅雲漸漸變成橘色的雲,紅雲漸漸變成橘色的什麼,雲
物1 + uj1 + m1 + v1 + n1 + nr1,什麼 + uj1 + m1 + v1 + n1 + nr1,雲的四周閃耀著金光,什麼的四周閃耀著金光,雲
v1 + m1 + z1 + uj1 + 物1,v1 + m1 + z1 + uj1 + 什麼,升起一個圓圓的火球,升起一個圓圓的什麼,火球
n1 + uj1 + r1 + s1 + 物1 + v1,n1 + uj1 + r1 + s1 + 什麼 + v1,山的另一邊白雲湧起,山的另一邊什麼湧起,白雲
人1 + d1 + v1 + 人2 + uj1 + 物1,誰 + d1 + v1 + 人2 + uj1 + 物1,爺爺常牽著我的手,誰常牽著我的手,爺爺
人1 + d1 + v1 + 人2 + uj1 + 物1,人1 + d1 + v1 + 誰 + uj1 + 物1,爺爺常牽著我的手,爺爺常牽著誰的手,我
c1 + v1 + 人1 + 事1,c1 + v1 + 人1 + 什麼事情,可以提供我們種植,可以提供我們什麼事情,種植
人1 + v1 + d1 + v2 + 物1 + uj1 + m1 + 人2,人1 + v1 + d1 + v2 + 什麼 + uj1 + m1 + 人2,我們是很有福氣的一群人,我們是很有什麼的一群人,福氣
人1 + d1 + a1 + a2 + ul1 + v1 + v2 + 人2 + uj1 + n1,誰 + d1 + a1 + a2 + ul1 + v1 + v2 + 人2 + uj1 + n1,我慢慢長大了開始懂得爺爺的心情,誰慢慢長大了開始懂得爺爺的心情,我
人1 + d1 + a1 + a2 + ul1 + v1 + v2 + 人2 + uj1 + n1,人1 + d1 + a1 + a2 + ul1 + v1 + v2 + 誰 + uj1 + n1,我慢慢長大了開始懂得爺爺的心情,我慢慢長大了開始懂得誰的心情,爺爺
u1 + 事1 + v1 + ul1,u1 + 什麼事情 + v1 + ul1,等戰爭結束了,等什麼事情結束了,戰爭
人1 + p1 + r1 + 事1,人1 + p1 + r1 + 什麼事情,他們在這裡開墾,他們在這裡什麼事情,開墾
人1 + c1 + 人2 + d1 + v1 + p1 + 人3 + 事1,誰 + c1 + 人2 + d1 + v1 + p1 + 人3 + 事1,勤勞和懶惰都喜歡跟人做朋友,誰和懶惰都喜歡跟人做朋友,勤勞
人1 + c1 + 人2 + d1 + v1 + p1 + 人3 + 事1,人1 + c1 + 誰 + d1 + v1 + p1 + 人3 + 事1,勤勞和懶惰都喜歡跟人做朋友,勤勞和誰都喜歡跟人做朋友,懶惰
人1 + c1 + 人2 + v1 + n1 + d1 + c2 + v2 + nr1 + a1,人1 + c1 + 誰 + v1 + n1 + d1 + c2 + v2 + nr1 + a1,農人和勤勞做朋友就可以收穫豐富,農人和誰做朋友就可以收穫豐富,勤勞
人1 + c1 + 人2 + v1 + n1 + d1 + c2 + v2 + nr1 + a1,誰 + c1 + 人2 + v1 + n1 + d1 + c2 + v2 + nr1 + a1,農人和勤勞做朋友就可以收穫豐富,誰和勤勞做朋友就可以收穫豐富,農人
人1 + c1 + 人2 + 事1 + 人3 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,人1 + c1 + 人2 + 什麼事情 + 人2 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,勤勞和工人做朋友工人就可以生產出精美的產品,勤勞和工人什麼事情就可以生產出精美的產品,做朋友
人1 + c1 + 人2 + 事1 + 人3 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,人1 + c1 + 人2 + 人2 + 事1 + 誰 + d1 + c2 + vn1 + v1 + a1 + uj1,勤勞和工人做朋友工人就可以生產出精美的產品,勤勞和工人做朋友誰就可以生產出精美的,工人
人1 + c1 + 人2 + 事1 + 人3 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,誰 + c1 + 人2 + 事1 + 人2 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,勤勞和工人做朋友工人就可以生產出精美的產品,誰和工人做朋友就可以生產出精美的產品,勤勞
人1 + c1 + 人2 + 事1 + 人3 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,人1 + c1 + 人2 + 事1 + 誰 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,勤勞和工人做朋友工人就可以生產出精美的產品,勤勞和工人做朋友誰就可以生產出精美的產品,工人
人1 + c1 + 人2 + 事1 + 人3 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,人1 + c1 + 誰 + 事1 + 人2 + d1 + c2 + vn1 + v1 + a1 + uj1 + 物1,勤勞和工人做朋友工人就可以生產出精美的產品,勤勞和誰做朋友工人就可以生產出精美的產品,工人
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + vn1,人1 + c1 + 誰 + 事1 + 人2 + uj1 + 物1 + d1 + c2 + vn1,勤勞和商人做朋友商人的貨物就可以流通,勤勞和誰做朋友商人的貨物就可以流通,商人
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + vn1,誰 + c1 + 人2 + 事1 + 人2 + uj1 + 物1 + d1 + c2 + vn1,勤勞和商人做朋友商人的貨物就可以流通,誰和商人做朋友的貨物就可以流通,勤勞
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + vn1,人1 + c1 + 人2 + 事1 + 誰 + uj1 + 物1 + d1 + c2 + vn1,勤勞和商人做朋友商人的貨物就可以流通,勤勞和商人做朋友誰的貨物就可以流通,商人
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + vn1,人1 + c1 + 人2 + 事1 + 人2 + uj1 + 什麼 + d1 + c2 + vn1,勤勞和商人做朋友商人的貨物就可以流通,勤勞和商人做朋友的什麼就可以流通,貨物
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + 事2,人1 + c1 + 誰 + 事1 + 人1 + uj1 + 物1 + d1 + c2 + 事2,學生和勤勞做朋友學生的成績就可以進步,學生和誰做朋友的成績就可以進步,勤勞
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + 事2,誰 + c1 + 人2 + 事1 + 人1 + uj1 + 物1 + d1 + c2 + 事2,學生和勤勞做朋友學生的成績就可以進步,誰和勤勞做朋友學生的成績就可以進步,學生
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + 事2,人1 + c1 + 人2 + 事1 + 誰 + uj1 + 物1 + d1 + c2 + 事2,學生和勤勞做朋友學生的成績就可以進步,學生和勤勞做朋友誰的成績就可以進步,學生
人1 + c1 + 人2 + 事1 + 人3 + uj1 + 物1 + d1 + c2 + 事2,人1 + c1 + 人2 + 事1 + 人1 + uj1 + 什麼 + d1 + c2 + 事2,學生和勤勞做朋友學生的成績就可以進步,學生和勤勞做朋友的什麼就可以進步,成績
人1 + c1 + 人2 + 事1 + c2 + v1 + 人3 + 物1 + uj1 + 物2,人1 + c1 + 人2 + 事1 + c2 + v1 + 誰 + 物1 + uj1 + 物2,勤勞和我們做朋友可以帶給我們成功的快樂,勤勞和我們做朋友可以帶給誰成功的快樂,我們
人1 + c1 + 人2 + 事1 + c2 + v1 + 人3 + 物1 + uj1 + 物2,人1 + c1 + 人2 + 人2 + 事1 + c2 + v1 + 誰 + 物1 + uj1,勤勞和我們做朋友可以帶給我們成功的快樂,勤勞和我們做朋友可以帶給誰成功的,我們
人1 + c1 + 人2 + 事1 + c2 + v1 + 人3 + 物1 + uj1 + 物2,人1 + c1 + 人2 + 事1 + c2 + v1 + 人2 + 什麼 + uj1 + 物2,勤勞和我們做朋友可以帶給我們成功的快樂,勤勞和我們做朋友可以帶給什麼的快樂,成功
人1 + c1 + 人2 + 事1 + c2 + v1 + 人3 + 物1 + uj1 + 物2,誰 + c1 + 人2 + 事1 + c2 + v1 + 人2 + 物1 + uj1 + 物2,勤勞和我們做朋友可以帶給我們成功的快樂,誰和我們做朋友可以帶給成功的快樂,勤勞
人1 + c1 + 人2 + 事1 + c2 + v1 + 人3 + 物1 + uj1 + 物2,人1 + c1 + 誰 + 事1 + c2 + v1 + 人2 + 物1 + uj1 + 物2,勤勞和我們做朋友可以帶給我們成功的快樂,勤勞和誰做朋友可以帶給我們成功的快樂,我們
a1 + uj1 + 人1 + d1 + v1 + p1 + 人2 + v2,a1 + uj1 + 人1 + d1 + v1 + p1 + 誰 + v2,聰明的人都喜歡跟勤勞接近,聰明的人都喜歡跟誰接近,勤勞
a1 + uj1 + 人1 + d1 + v1 + p1 + 人2 + v2,a1 + uj1 + 誰 + d1 + v1 + p1 + 人2 + v2,聰明的人都喜歡跟勤勞接近,聰明的誰都喜歡跟勤勞接近,人
人1 + c1 + 人2 + a1 + v1,誰 + c1 + 人2 + a1 + v1,懶惰和勤勞正好相反,誰和勤勞正好相反,懶惰
人1 + c1 + 人2 + a1 + v1,人1 + c1 + 誰 + a1 + v1,懶惰和勤勞正好相反,懶惰和誰正好相反,勤勞
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 什麼事情 + 物1 + d1 + v1 + a1,農人和懶惰做朋友收穫就減少,農人和懶惰什麼事情收穫就減少,做朋友
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 事1 + 什麼 + d1 + v1 + a1,農人和懶惰做朋友收穫就減少,農人和懶惰做朋友什麼就減少,收穫
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 誰 + 事1 + 物1 + d1 + v1 + a1,農人和懶惰做朋友收穫就減少,農人和誰做朋友收穫就減少,懶惰
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,誰 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,農人和懶惰做朋友收穫就減少,誰和懶惰做朋友收穫就減少,農人
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 事1 + 什麼東西 + d1 + v1 + a1,農人和懶惰做朋友收穫就減少,農人和懶惰做朋友什麼東西就減少,收穫
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 什麼事情 + 物1 + d1 + v1 + a1,工人和懶惰做朋友產品就會粗陋,工人和懶惰什麼事情產品就會粗陋,做朋友
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 事1 + 什麼 + d1 + v1 + a1,工人和懶惰做朋友產品就會粗陋,工人和懶惰做朋友什麼就會粗陋,產品
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 誰 + 事1 + 物1 + d1 + v1 + a1,工人和懶惰做朋友產品就會粗陋,工人和誰做朋友產品就會粗陋,懶惰
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,誰 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,工人和懶惰做朋友產品就會粗陋,誰和懶惰做朋友產品就會粗陋,工人
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + a1,人1 + c1 + 人2 + 事1 + 什麼東西 + d1 + v1 + a1,工人和懶惰做朋友產品就會粗陋,工人和懶惰做朋友什麼東西就會粗陋,產品
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + v2,人1 + c1 + 人2 + 什麼事情 + 物1 + d1 + v1 + v2,商人和它做朋友業績就會減少,商人和它什麼事情業績就會減少,做朋友
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + v2,誰 + c1 + 人2 + 事1 + 物1 + d1 + v1 + v2,商人和它做朋友業績就會減少,誰和它做朋友業績就會減少,商人
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + v2,人1 + c1 + 人2 + 事1 + 什麼 + d1 + v1 + v2,商人和它做朋友業績就會減少,商人和它做朋友什麼就會減少,業績
人1 + c1 + 人2 + 事1 + 物1 + d1 + v1 + v2,人1 + c1 + 誰 + 事1 + 物1 + d1 + v1 + v2,商人和它做朋友業績就會減少,商人和誰做朋友業績就會減少,它
a1 + uj1 + 人1 + v1 + c1 + 人2 + 事1,a1 + uj1 + 人1 + v1 + c1 + 誰 + 事1,愚笨的人喜歡和懶惰做朋友,愚笨的人喜歡和誰做朋友,懶惰
a1 + uj1 + 人1 + v1 + c1 + 人2 + 事1,a1 + uj1 + 人1 + v1 + c1 + 人2 + 什麼事情,愚笨的人喜歡和懶惰做朋友,愚笨的人喜歡和懶惰什麼事情,做朋友
d1 + v1 + 物1 + c1 + 物2,d1 + v1 + 什麼 + c1 + 物2,再體會痛苦和後悔,再體會什麼和後悔,痛苦
d1 + v1 + 物1 + c1 + 物2,d1 + v1 + 物1 + c1 + 什麼,再體會痛苦和後悔,再體會痛苦和什麼,後悔
c1 + 人1 + v1 + v2 + m1 + a1 + uj1 + 人2,c1 + 人1 + v1 + v2 + m1 + a1 + uj1 + 誰,所以我們要做一個勤勞的人,所以我們要做一個勤勞的誰,人
c1 + 人1 + v1 + v2 + m1 + a1 + uj1 + 人2,c1 + 誰 + v1 + v2 + m1 + a1 + uj1 + 人2,所以我們要做一個勤勞的人,所以誰要做一個勤勞的人,我們
物1 + c1 + 物2 + p1 + 物3 + v1 + ul1,物1 + c1 + 什麼 + p1 + 物3 + v1 + ul1,松針和青苔把河水染綠了,松針和什麼把河水染綠了,青苔
物1 + c1 + 物2 + p1 + 物3 + v1 + ul1,物1 + c1 + 物2 + p1 + 什麼 + v1 + ul1,松針和青苔把河水染綠了,松針和青苔把什麼染綠了,河水
物1 + c1 + 物2 + p1 + 物3 + v1 + ul1,什麼 + c1 + 物2 + p1 + 物3 + v1 + ul1,松針和青苔把河水染綠了,什麼和青苔把河水染綠了,松針
v1 + n1 + uj1 + 物1 + c1 + 物2,v1 + n1 + uj1 + 物1 + c1 + 什麼,帶來人群的快樂和奮勉,帶來人群的快樂和什麼,奮勉
人1 + uj1 + a1 + 物1 + v1 + d1 + a2 + uj2,誰 + uj1 + a1 + 物1 + v1 + d1 + a2 + uj1,李先生的好脾氣是很有名的,誰的好脾氣是很有名,李先生
人1 + k1 + v1 + 人2 + uj1 + a1 + 物1 + d1 + a2,人1 + k1 + v1 + 誰 + uj1 + a1 + 物1 + d1 + a2,鄰居們覺得他的好脾氣真是稀奇,鄰居們覺得誰的好脾氣真是稀奇,他
d1 + p1 + 人1 + v1 + ud1 + l1,d1 + p1 + 誰 + v1 + ud1 + l1,都對他佩服得不得了,都對誰佩服得不得了,他
事1 + d1 + n1 + p1 + m1 + 物1 + v1 + ul1,什麼事情 + d1 + n1 + p1 + m1 + 物1 + v1 + ul1,上菜不小心把一碗熱湯打翻了,什麼事情不小心把一碗熱湯打翻了,上菜
事1 + d1 + n1 + p1 + m1 + 物1 + v1 + ul1,事1 + d1 + n1 + p1 + m1 + 什麼東西 + v1 + ul1,上菜不小心把一碗熱湯打翻了,上菜不小心把一碗什麼東西打翻了,熱湯
c1 + v1 + y1 + ul1 + 人1 + uj1 + 物1 + d1 + v2 + ul2 + 人2 + m1,c1 + v1 + y1 + ul1 + 誰 + uj1 + 物1 + d1 + v2 + ul1 + 人2 + m1,不但弄髒了自己的袖子還濺了李先生一身,不但弄髒了誰的袖子還濺李先生一身,自己
c1 + v1 + y1 + ul1 + 人1 + uj1 + 物1 + d1 + v2 + ul2 + 人2 + m1,c1 + v1 + y1 + ul1 + 人1 + uj1 + 什麼 + d1 + v2 + ul1 + 人2 + m1,不但弄髒了自己的袖子還濺了李先生一身,不但弄髒了自己的什麼還濺李先生一身,袖子
c1 + v1 + y1 + ul1 + 人1 + uj1 + 物1 + d1 + v2 + ul2 + 人2 + m1,c1 + v1 + y1 + ul1 + 人1 + uj1 + 物1 + d1 + v2 + ul1 + 誰 + m1,不但弄髒了自己的袖子還濺了李先生一身,不但弄髒了自己的袖子還濺誰一身,李先生
人1 + a1 + ul1,誰 + a1 + ul1,服務生慌了,誰慌了,服務生
人1 + v1 + v2 + zg1 + 物1 + f1 + v3 + v4 + m1 + 物2,人1 + v1 + v2 + zg1 + 物1 + f1 + v3 + v4 + m1 + 什麼東西,李先生站起來從口袋裡掏出一條手帕,李先生站起來從口袋裡掏出一條什麼東西,手帕
人1 + v1 + v2 + zg1 + 物1 + f1 + v3 + v4 + m1 + 物2,誰 + v1 + v2 + zg1 + 物1 + f1 + v3 + v4 + m1 + 物2,李先生站起來從口袋裡掏出一條手帕,誰站起來從口袋裡掏出一條手帕,李先生
人1 + k1 + c1 + 人2 + v1 + v2 + v3 + 人3 + uj1 + 物1,人1 + k1 + c1 + 人2 + v1 + v2 + v3 + 人3 + uj1 + 什麼,朋友們以為他是要擦自己的衣服,朋友們以為他是要擦自己的什麼,衣服
人1 + k1 + c1 + 人2 + v1 + v2 + v3 + 人3 + uj1 + 物1,人1 + k1 + c1 + 誰 + v1 + v2 + v3 + 人3 + uj1 + 物1,朋友們以為他是要擦自己的衣服,朋友們以為誰是要擦自己的衣服,他
zg1 + v1 + 人1 + v2 + v3 + v4 + 人2 + uj1 + 物1,zg1 + v1 + 人1 + v2 + v3 + v4 + 人2 + uj1 + 什麼,沒想到他伸手去擦服務生的袖子,沒想到他伸手去擦服務生的什麼,袖子
zg1 + v1 + 人1 + v2 + v3 + v4 + 人2 + uj1 + 物1,zg1 + v1 + 人1 + v2 + v3 + v4 + 誰 + uj1 + 物1,沒想到他伸手去擦服務生的袖子,沒想到他伸手去擦誰的袖子,服務生
人1 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj2 + 人3 + r1,誰 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj1 + 人3 + r1,他的態度就像對待自己的孩子一樣,誰的態度就像對待自己孩子一樣,他
人1 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj2 + 人3 + r1,人1 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj1 + 誰 + r1,他的態度就像對待自己的孩子一樣,他的態度就像對待自己誰一樣,孩子
人1 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj2 + 人3 + r1,人1 + uj1 + 物1 + d1 + v1 + v2 + 誰 + uj1 + 人3 + r1,他的態度就像對待自己的孩子一樣,他的態度就像對待誰孩子一樣,自己
人1 + uj1 + 物1 + d1 + v1 + v2 + 人2 + uj2 + 人3 + r1,人1 + uj1 + 什麼 + d1 + v1 + v2 + 人2 + uj1 + 人3 + r1,他的態度就像對待自己的孩子一樣,他的什麼就像對待自己孩子一樣,態度
v1 + m1 + 人1 + v2 + t1 + d1 + v3 + ul1 + 人2,v1 + m1 + 人1 + v2 + t1 + d1 + v3 + ul1 + 誰,有一個護士跑過來迎面撞上了李先生,有一個護士跑過來迎面撞上了誰,李先生
v1 + m1 + 人1 + v2 + t1 + d1 + v3 + ul1 + 人2,v1 + m1 + 誰 + v2 + t1 + d1 + v3 + ul1 + 人2,有一個護士跑過來迎面撞上了李先生,有一個誰跑過來迎面撞上了李先生,護士
人1 + uj1 + 物1 + p1 + r1 + 人2 + uj2 + 物2 + a1 + uj3 + v1 + ul1 + m1,人1 + uj1 + 什麼 + p1 + r1 + 人2 + uj1 + 物2 + a1 + uj1 + v1 + ul1 + m1,李先生的鼻子被那個人的頭重重的撞了一下,李先生的什麼被那個人頭重重撞了一下,鼻子
人1 + uj1 + 物1 + p1 + r1 + 人2 + uj2 + 物2 + a1 + uj3 + v1 + ul1 + m1,人1 + uj1 + 物1 + p1 + r1 + 人2 + uj1 + 什麼 + a1 + uj1 + v1 + ul1 + m1,李先生的鼻子被那個人的頭重重的撞了一下,李先生的鼻子被那個人什麼重重撞了一下,頭
人1 + v1 + v2 + v3 + 人2 + uj1 + 物1,人1 + v1 + v2 + v3 + 誰 + uj1 + 物1,李先生伸手去摸護士的頭,李先生伸手去摸誰的頭,護士
人1 + v1 + v2 + v3 + 人2 + uj1 + 物1,誰 + v1 + v2 + v3 + 人2 + uj1 + 物1,李先生伸手去摸護士的頭,誰伸手去摸護士的頭,李先生
a1 + q1 + 人1 + d1 + d2 + n1 + y1,a1 + q1 + 誰 + d1 + d2 + n1 + y1,難道你從來不生氣嗎,難道誰從來不生氣嗎,你
c1 + 人1 + c2 + m1 + p1 + 人2 + v1 + v2 + 物1 + d1 + v3 + ul1,c1 + 人1 + c2 + m1 + p1 + 人2 + v1 + v1 + 什麼 + d1 + v3 + ul1,但是你只要多替別人想想氣就消了,但是你只要多替別人想什麼就消了,氣
c1 + 人1 + c2 + m1 + p1 + 人2 + v1 + v2 + 物1 + d1 + v3 + ul1,c1 + 誰 + c2 + m1 + p1 + 人2 + v1 + v1 + 物1 + d1 + v3 + ul1,但是你只要多替別人想想氣就消了,但是誰只要多替別人想氣就消了,你
人1 + b1 + v1 + d1 + p1 + 人2 + n1 + 物1 + v2 + d2 + v3 + uj1,誰 + b1 + v1 + d1 + p1 + 人2 + n1 + 物1 + v2 + d2 + v3 + uj1,我總覺得隨便對人發脾氣是不應該的,誰總覺得隨便對人發脾氣是不應該的,我
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事2 + uj2 + 物1,誰 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事1 + uj1 + 物1,他父親是教聾啞人說話的專家所以貝爾從小就喜歡研究人類說話的聲音,誰是教聾啞人說話的專家所以貝爾從小就喜歡研究人類聲音,他父親
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事2 + uj2 + 物1,人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 誰 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事1 + uj1 + 物1,他父親是教聾啞人說話的專家所以貝爾從小就喜歡研究人類說話的聲音,他父親是教聾啞人說話的專家所以誰從小就喜歡研究人類聲音,貝爾
人1 + v1 + v2 + 人2 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事2 + uj2 + 物1,人1 + v1 + v2 + 誰 + 事1 + uj1 + 人3 + c1 + 人4 + p1 + a1 + d1 + v3 + vn1 + 人5 + 事1 + uj1 + 物1,他父親是教聾啞人說話的專家所以貝爾從小就喜歡研究人類說話的聲音,他父親是教誰說話的專家所以貝爾從小就喜歡研究人類聲音,聾啞人
