ID,article,que,rule,que_transfer,ans,ans_word
178,他_人1 聽到_v1 哥哥_人2 說_zg1 我_人3 跟_p1 校長_人4 一起_m1 照相_事1 很_d1 神氣_a1,哥哥跟校長一起做什麼事?,人1 + v1 + 人2 + zg1 + 人3 + p1 + 人4 + m1 + 事1 + d1 + a1,人2 + p1 + 人4 + m1 + 什麼事,事1,照相
180,小方_人1 在_p1 學校_地1 裡_f1,小方在哪裡?,人1 + p1 + 地1 + f1,人1 + p1 + 哪裡,地1,學校
181,今天_時1 放假_v1 爸爸_人1 帶_v2 我_人2 和_c1 弟弟_人3 去_v3 動物園_地1,爸爸帶我和誰去動物園?,時1 + v1 + 人1 + v2 + 人2 + c1 + 人3 + v3 + 地1,人1 + v2 + 人2 + c1 + 誰 + v3 + 地1,人2,我
182,今天_時1 放假_v1 爸爸_人1 帶_v2 我_人2 和_c1 弟弟_人3 去_v3 動物園_地1,爸爸帶我和弟弟去哪裡?,時1 + v1 + 人1 + v2 + 人2 + c1 + 人3 + v3 + 地1,人1 + v2 + 人2 + c1 + 人3 + v3 + 哪裡,地1,動物園
183,今天_時1 放假_v1 爸爸_人1 帶_v2 我_人2 和_c1 弟弟_人3 去_v3 動物園_地1,誰帶我和弟弟去動物園?,時1 + v1 + 人1 + v2 + 人2 + c1 + 人3 + v3 + 地1,誰 + v2 + 人2 + c1 + 人3 + v3 + 地1,人1,爸爸
184,我_人1 在_p1 動物園_地1 門口_s1,我在哪裡?,人1 + p1 + 地1 + s1,人1 + p1 + 哪裡,地1,動物園
185,我_人1 在_p1 動物園_地1 門口_s1,誰在動物園門口?,人1 + p1 + 地1 + s1,誰 + p1 + 地1 + s1,人1,我
186,碰到_v1 了_ul1 幾個_m1 朋友_人1,碰到了誰?,v1 + ul1 + m1 + 人1,v1 + ul1 + 誰,人1,朋友
187,他們_人1 也_d1 來看_u1 動物_物1,他們也來看什麼?,人1 + d1 + u1 + 物1,人1 + d1 + u1 + 什麼,物1,動物
188,在_p1 動物園_地1 裡_f1 我_人1 看到_v1 可愛_v2 的_uj1 山羊_物1 高大_a1 的_uj2 水牛_物2,在動物園我們看到什麼?,p1 + 地1 + f1 + 人1 + v1 + v2 + uj1 + 物1 + a1 + uj2 + 物2,p1 + 地1 + 人1 + v1 + 什麼,地1,動物園
189,看到_v1 許多_m1 小_a1 猴子_人1 在_p1 樹上_地1 跳_v2 來_v3 跳_v4 去_v5,看到什麼在樹上跳?,v1 + m1 + a1 + 人1 + p1 + 地1 + v2 + v3 + v4 + v5,v1 + 什麼 + p1 + 地1 + v2,地1,樹上
190,看到_v1 許多_m1 小_a1 猴子_人1 在_p1 樹上_地1 跳_v2 來_v3 跳_v4 去_v5,看到小猴子在哪裡跳?,v1 + m1 + a1 + 人1 + p1 + 地1 + v2 + v3 + v4 + v5,v1 + a1 + 人1 + p1 + 哪裡 + v2,地1,樹上
191,小_a1 猴子_人1 喜歡_v1 學_v2 人_人2 的_uj1 動作_n1,小猴子喜歡學誰的動作?,a1 + 人1 + v1 + v2 + 人2 + uj1 + n1,a1 + 人1 + v1 + v2 + 誰 + uj1 + n1,人2,人
192,有_v1 一隻_m1 小_a1 烏鴉_人1 找到_v2 一塊_m2 肉_物1,小烏鴉找到甚麼,v1 + m1 + a1 + 人1 + v2 + m2 + 物1,a1 + 人1 + v2 + 什麼,物1,肉
193,他_人1 叼_v1 著_v2 這塊_r1 肉_物1 飛到_v3 一棵_m1 大樹_地1 上_f1,他叼著這塊肉飛到哪裡?,人1 + v1 + v2 + r1 + 物1 + v3 + m1 + 地1 + f1,人1 + v1 + v2 + r1 + 物1 + v3 + 哪裡,地1,大樹
194,小_a1 烏鴉_人1 正要_a2 吃_v1 這塊_r1 肉_物1 時_ng1 被_p1 樹下_地1 的_uj1 狐狸_人2 看到_v2 了_ul1,烏鴉正要吃肉時被誰看到了?,a1 + 人1 + a2 + v1 + r1 + 物1 + ng1 + p1 + 地1 + uj1 + 人2 + v2 + ul1,人1 + a2 + v1 + 物1 + ng1 + p1 + 誰 + v2 + ul1,人2,狐狸
195,烏鴉_人1 聽到_v1 狐狸_人2 說_v2 他_人3 的_uj1 歌聲_物1 很_d1 好_a1 聽_v3 心裡_地1 很_d2 高興_a2,烏鴉聽到狐狸說他什麼心裡很開心?,人1 + v1 + 人2 + v2 + 人3 + uj1 + 物1 + d1 + a1 + v3 + 地1 + d2 + a2,人1 + v1 + 人2 + v2 + 人3 + 什麼 + 地1 + d1,物1,歌聲
196,想不到_l1 一_m1 開口_v1 口裡_地1 叼_v2 著_v3 的_uj1 肉_物1 就_d1 掉_v4 到_v5 樹下_地2 了_ul1,一開口肉就掉到哪裡了?,l1 + m1 + v1 + 地1 + v2 + v3 + uj1 + 物1 + d1 + v4 + v5 + 地2 + ul1,m1 + v1 + 物1 + d1 + v4 + v5 + 哪裡 + ul1,地1,口裡
197,橋_物1 的_uj1 這_r1 一頭_m1 有一_nr1 隻_zg1 白_a1 狗_人1,橋的這一頭有一隻什麼?,物1 + uj1 + r1 + m1 + nr1 + zg1 + a1 + 人1,物1 + uj1 + r1 + m1 + nr1 + zg1 + 什麼,物1,橋
198,橋_物1 的_uj1 那_r1 一頭_m1 有一_nr1 隻_zg1 黑_a1 狗_人1,橋的那一頭有一隻什麼?,物1 + uj1 + r1 + m1 + nr1 + zg1 + a1 + 人1,物1 + uj1 + r1 + m1 + nr1 + zg1 + 什麼,物1,橋
199,白狗_人1 要_v1 過_ug1 橋_物1 黑狗_人2 也_d1 要_v2 過_ug2 橋_物2,誰要過橋?,人1 + v1 + ug1 + 物1 + 人2 + d1 + v2 + ug2 + 物2,誰 + v1 + ug1 + 物1,人1,白狗
200,兩_m1 隻_y1 狗_人1 打_v1 起_v2 來_v3 都_d1 掉_v4 到_v5 河裡_地1 去_v6 了_ul1,兩隻狗掉到哪裡了?,m1 + y1 + 人1 + v1 + v2 + v3 + d1 + v4 + v5 + 地1 + v6 + ul1,m1 + y1 + 人1 + v4 + v5 + 哪裡 + ul1,地1,河裡
201,橋_物1 的_uj1 東邊_s1 有一_nr1 隻_zg1 白羊_人1,橋的東邊有什麼?,物1 + uj1 + s1 + nr1 + zg1 + 人1,物1 + uj1 + s1 + 什麼,物1,橋
202,橋_物1 的_uj1 西邊_s1 有一_nr1 隻_zg1 黑羊_人1,橋的西邊有什麼?,物1 + uj1 + s1 + nr1 + zg1 + 人1,物1 + uj1 + s1 + 什麼,物1,橋
203,白羊_人1 要_v1 過_ug1 橋_物1 黑羊_人2 也_d1 要_v2 過_ug2 橋_物2,誰要過橋?,人1 + v1 + ug1 + 物1 + 人2 + d1 + v2 + ug2 + 物2,誰 + v1 + ug1 + 物1,人1,白羊
204,兩隻_m1 羊_人1 走_v1 到_v2 橋_物1 中間_f1 白羊_人2 退回去_l1 讓_v3 黑_a1 羊_人3 先_d1 過_ug1 橋_n1,誰先過橋?,m1 + 人1 + v1 + v2 + 物1 + f1 + 人2 + l1 + v3 + a1 + 人3 + d1 + ug1 + n1,誰 + d1 + ug1 + 物1,人1,羊
205,我_人1 是一隻小_a1 蝸牛_物1,我是什麼?,人1 + a1 + 物1,人1 + 什麼,物1,蝸牛
206,我_人1 有_v1 一個_m1 可愛_a1 的_uj1 家_物1,我有一個可愛的什麼?,人1 + v1 + m1 + a1 + uj1 + 物1,人1 + v1 + m1 + a1 + uj1 + 什麼,物1,家
207,我_人1 的_uj1 家_物1 小小的_z1 只有_c1 一個_m1 房間_物2,我的家只有一個什麼?,人1 + uj1 + 物1 + z1 + c1 + m1 + 物2,人1 + uj1 + 物1 + c1 + m1 + 什麼,物2,房間
208,我_人1 每天_r1 辛苦_a1 的_uj1 背著_v1 小_a2 房子_物1 走路_v2,我每天背著什麼走路?,人1 + r1 + a1 + uj1 + v1 + a2 + 物1 + v2,人1 + r1 + v1 + 什麼 + v2,物1,房子
209,我_人1 背著_v1 小_a1 房子_物1 爬_v2 樹_物2,我背著什麼爬樹?,人1 + v1 + a1 + 物1 + v2 + 物2,人1 + v1 + 什麼 + v2 + 物2,物1,房子
210,我_人1 背著_v1 小_a1 房子_物1 找_v2 食物_物2,我背著小房子找什麼?,人1 + v1 + a1 + 物1 + v2 + 物2,人1 + v1 + a1 + 物1 + v2 + 什麼,物2,食物
212,我_人1 天天_t1 背著_v1 我_人2 的_uj1 家_物1 我_人3 愛_v2 我_人4 的_uj2 家_物2,我天天背著什麼?,人1 + t1 + v1 + 人2 + uj1 + 物1 + 人3 + v2 + 人4 + uj2 + 物2,人1 + t1 + v1 + 什麼,物1,家
213,告訴_v1 你_人1 今天_時1 好_a1 天氣_n1,告訴你哪天好天氣?,v1 + 人1 + 時1 + a1 + n1,v1 + 人1 + 哪天 + a1 + n1,時1,今天
214,金色_a1 陽光_物1 照著_v1 大地_地1,什麼顏色陽光照大地?,a1 + 物1 + v1 + 地1,什麼 + 物1 + 地1,物1,陽光
215,好_a1 想_v1 找_v2 你_人1 去_v3 公園_地1,想找你去哪裡?,a1 + v1 + v2 + 人1 + v3 + 地1,v1 + v2 + 人1 + v3 + 哪裡,地1,公園
216,一起_m1 散步_v1 在_p1 公園_地1 裡_f1,一起在哪裡散步?,m1 + v1 + p1 + 地1 + f1,m1 + p1 + 哪裡 + v1,地1,公園
217,一起_m1 散步_v1 在_p1 公園_地1 裡_f1,一起在公園裡做什麼?,m1 + v1 + p1 + 地1 + f1,m1 + p1 + 地1 + f1 + 什麼,地1,公園
218,讓_v1 你_人1 知道_v2 我_人2 正在_時1 想_v3 你_人3,讓你知道我正在做什麼?,v1 + 人1 + v2 + 人2 + 時1 + v3 + 人3,v1 + 人1 + v2 + 人2 + 時1 + 什麼,時1,正在
219,你_人1 也_d1 要_v1 把_p1 我_人2 放在_v2 你_人3 心裡_地1,你要把我放在誰心裡?,人1 + d1 + v1 + p1 + 人2 + v2 + 人3 + 地1,人1 + v1 + p1 + 人2 + v2 + 誰 + 地1,人2,我
220,放假_v1 了_ul1 我們_人1 全家_人2 去_v2 曼谷_地1 玩_v3,我們全家去哪裡玩?,v1 + ul1 + 人1 + 人2 + v2 + 地1 + v3,人1 + 人2 + v2 + 哪裡 + v3,地1,曼谷
221,在_p1 曼谷_地1 的_uj1 叔叔_人1 開車_v1 來接_v2 我們_人2,誰開車來接我們?,p1 + 地1 + uj1 + 人1 + v1 + v2 + 人2,誰 + v1 + v2 + 人2,人1,叔叔
222,我_人1 看到_v1 路上_地1 有_v2 一種_m1 車_物1,我在哪看到一種車?,人1 + v1 + 地1 + v2 + m1 + 物1,人1 + v1 + 哪裡 + m1 + 物1,地1,路上
224,我_人1 好奇_a1 的_uj1 問_n1 叔叔_人2 那_r1 是_v1 什麼_r2 車_物1,我好奇問誰那是什麼車?,人1 + a1 + uj1 + n1 + 人2 + r1 + v1 + r2 + 物1,人1 + a1 + n1 + 誰 + r1 + v1 + r2 + 物1,人2,叔叔
225,叔叔_人1 說_zg1 那_r1 是_v1 嘟嘟_o1 車_物1,叔叔說那是什麼車?,人1 + zg1 + r1 + v1 + o1 + 物1,人1 + zg1 + r1 + v1 + 什麼 + 物1,物1,車
226,叔叔_人1 笑_v1 著_v2 說_v3 如果_c1 我_人2 沒_d1 開車_v4 來接_v5 你們_人3 你們_人4 就_d2 可以_c2 坐_v6 嘟嘟_o1 車_物1 來_v7 我家_地1 了_ul1,叔叔說如果我沒開車來接你們可以坐什麼車來我家?,人1 + v1 + v2 + v3 + c1 + 人2 + d1 + v4 + v5 + 人3 + 人4 + d2 + c2 + v6 + o1 + 物1 + v7 + 地1 + ul1,人1 + v3 + c1 + 人2 + d1 + v4 + v5 + 人3 + c2 + v6 + 什麼 + 物1 + v7 + 人2,物1,車
227,妹妹_人1 高興_a1 的_uj1 說_v1 以後_時1 叔叔_人2 你_人3 不要_df1 來接_v2 我們_人4 我們_人5 就_d1 可以_c1 坐_v3 嘟嘟_o1 車_物1 了_ul1,誰不要叔叔開車來接我們?,人1 + a1 + uj1 + v1 + 時1 + 人2 + 人3 + df1 + v2 + 人4 + 人5 + d1 + c1 + v3 + o1 + 物1 + ul1,誰 + df1 + 人2 + 物1 + v2 + 人4,人1,妹妹
230,老師_人1 很_d1 高興_a1 的_uj1 說_v1 好久_m1 不見_v2 你們_人2 都_d2 長_v3 高_a2 了_ul1,老師說你們都如何?,人1 + d1 + a1 + uj1 + v1 + m1 + v2 + 人2 + d2 + v3 + a2 + ul1,人1 + v1 + 人2 + d2 + 如何,人2,你們
231,這_r1 學期_n1 班上_地1 來_v1 了_ul1 兩個_m1 新_a1 同學_人1,這學期班上來了兩個誰?,r1 + n1 + 地1 + v1 + ul1 + m1 + a1 + 人1,r1 + n1 + 地1 + v1 + ul1 + m1 + 誰,人1,同學
232,老師_人1 要_v1 我們_人2 多_m1 幫助_v2 他們_人3,老師要我們如何?,人1 + v1 + 人2 + m1 + v2 + 人3,人1 + v1 + 人2 + 如何,人2,我們
233,讓_v1 他們_人1 在_p1 新_a1 學校_地1 快樂_a2 的_uj1 學習_事1,讓他們快樂的如何?,v1 + 人1 + p1 + a1 + 地1 + a2 + uj1 + 事1,v1 + 人1 + a2 + uj1 + 如何,人1,他們
234,我們_人1 聽_v1 了_ul1 都_d1 拍手_v2 歡迎_v3 新_a1 同學_人2,我們拍手歡迎誰?,人1 + v1 + ul1 + d1 + v2 + v3 + a1 + 人2,人1 + v2 + v3 + 誰,人1,我們
235,新學期_n1 我_人1 有_v1 新_a1 希望_事1,新學期我有新的什麼?,n1 + 人1 + v1 + a1 + 事1,n1 + 人1 + v1 + a1 + 什麼,事1,希望
237,我_人1 希望_v1 能_v2 和_c1 同學_人2 一起_m1 讀書_v3 一起_m2 遊戲_v4,希望能和誰一起讀書?,人1 + v1 + v2 + c1 + 人2 + m1 + v3 + m2 + v4,v1 + v2 + c1 + 誰 + m1 + v3,人2,同學
238,勤勞_a1 的_uj1 太陽_人1 天天_時1 忙著_v1 做_v2 事_事1,太陽天天忙著做什麼事?,a1 + uj1 + 人1 + 時1 + v1 + v2 + 事1,人1 + 時1 + v1 + v2 + 什麼事,事1,事
239,春天_時1 太陽_人1 照_v1 在_p1 花兒_物1 上_f1 花兒_物2 開_v2 得_ud1 更_d1 美麗_a1,什麼時候太陽照在花兒上?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + v2 + ud1 + d1 + a1,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1,春天
240,春天_時1 太陽_人1 照_v1 在_p1 花兒_物1 上_f1 花兒_物2 開_v2 得_ud1 更_d1 美麗_a1,花兒開得更如何?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + v2 + ud1 + d1 + a1,物1 + v2 + ud1 + d1 + 如何,物1,花兒
241,夏天_時1 太陽_人1 照_v1 在_p1 稻子_物1 上_f1 稻子_物2 長_a1 得_ud1 更_d1 高大_a2,什麼時候太陽照在稻子上?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + a1 + ud1 + d1 + a2,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1,夏天
242,夏天_時1 太陽_人1 照_v1 在_p1 稻子_物1 上_f1 稻子_物2 長_a1 得_ud1 更_d1 高大_a2,稻子長得更如何?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + a1 + ud1 + d1 + a2,物1 + a1 + ud1 + d1 + 如何,物1,稻子
243,秋天_時1 太陽_人1 照_v1 在_p1 果樹_物1 上_f1 果子_物2 熟_a1 得_ud1 更_d1 快_a2 了_ul1,什麼時候太陽照在果樹上?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + a1 + ud1 + d1 + a2 + ul1,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1,秋天
244,秋天_時1 太陽_人1 照_v1 在_p1 果樹_物1 上_f1 果子_物2 熟_a1 得_ud1 更_d1 快_a2 了_ul1,什麼東西熟得更快了?,時1 + 人1 + v1 + p1 + 物1 + f1 + 物2 + a1 + ud1 + d1 + a2 + ul1,什麼東西 + a1 + ud1 + d1 + a2 + ul1,物1,果樹
245,冬天_時1 的_uj1 太陽_人1 照_v1 在_p1 小_a1 花貓_物1 的_uj2 身上_地1,什麼時候太陽照在花貓上?,時1 + uj1 + 人1 + v1 + p1 + a1 + 物1 + uj2 + 地1,什麼時候 + 人1 + v1 + p1 + 物1,時1,冬天
246,小_a1 花貓_人1 睡_v1 得_ud1 更_d1 香甜_a2 了_ul1,誰睡得更香甜了?,a1 + 人1 + v1 + ud1 + d1 + a2 + ul1,誰 + v1 + ud1 + d1 + a2 + ul1,人1,花貓
247,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 山上_地1 工作_vn1,誰帶我去山上工作?,v1 + m1 + 人1 + v2 + 人2 + v3 + 地1 + vn1,誰 + v2 + 人2 + v3 + 地1 + vn1,人1,爸爸
248,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 山上_地1 工作_vn1,爸爸帶誰去山上工作?,v1 + m1 + 人1 + v2 + 人2 + v3 + 地1 + vn1,人1 + v2 + 誰 + v3 + 地1 + vn1,人1,爸爸
249,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 山上_地1 工作_vn1,爸爸帶我去哪裡工作?,v1 + m1 + 人1 + v2 + 人2 + v3 + 地1 + vn1,人1 + v2 + 人2 + v3 + 哪裡 + vn1,地1,山上
250,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 山上_地1 工作_vn1,爸爸帶我去山上做什麼?,v1 + m1 + 人1 + v2 + 人2 + v3 + 地1 + vn1,人1 + v2 + 人2 + v3 + 地1 + 什麼,地1,山上
251,爸爸_人1 對_p1 我_人2 說_v1 你_人3 可以_c1 帶_v2 彩色筆_物1 去_v3 山上_地1 畫_v4 畫_n1,可以帶什麼去山上畫畫,人1 + p1 + 人2 + v1 + 人3 + c1 + v2 + 物1 + v3 + 地1 + v4 + n1,c1 + v2 + 什麼 + v3 + 地1 + v4 + v4,物1,彩色筆
252,爸爸_人1 對_p1 我_人2 說_v1 你_人3 可以_c1 帶_v2 彩色筆_物1 去_v3 山上_地1 畫_v4 畫_n1,可以帶彩色筆去山上做什麼?,人1 + p1 + 人2 + v1 + 人3 + c1 + v2 + 物1 + v3 + 地1 + v4 + n1,c1 + v2 + 物1 + v3 + 地1 + 什麼,物1,彩色筆
253,我_人1 站_v1 在_p1 山上_地1 看到_v2 高高低低_z1 的_uj1 山_物1,我站在哪裡看到高高低低的山?,人1 + v1 + p1 + 地1 + v2 + z1 + uj1 + 物1,人1 + v1 + p1 + 哪裡 + v2 + z1 + uj1 + 物1,地1,山上
254,有時_時1 白雲_n1 飄過來_v1 有_v2 一半_m1 的_uj1 山_物1 在_p1 雲_物2 的_uj2 上面_f1,有一半的山在什麼的上面?,時1 + n1 + v1 + v2 + m1 + uj1 + 物1 + p1 + 物2 + uj2 + f1,v2 + m1 + uj1 + 物1 + p1 + 什麼 + uj1 + f1,物1,山
255,我_人1 從_p1 山上_地1 向下_v1 看_v2,我站在哪裡向下看?,人1 + p1 + 地1 + v1 + v2,人1 + 哪裡 + v1 + v2,地1,山上
256,山下_地1 的_uj1 河流_物1 變小_v1 了_ul1,山下的什麼變小了?,地1 + uj1 + 物1 + v1 + ul1,地1 + uj1 + 什麼 + v1 + ul1,物1,河流
257,房屋_物1 也_d1 變_v1 小_a1 了_ul1,什麼也變小了?,物1 + d1 + v1 + a1 + ul1,什麼 + d1 + v1 + a1 + ul1,物1,房屋
258,我_人1 畫_v1 了_ul1 一張_m1 畫_物1,我畫了一張什麼?,人1 + v1 + ul1 + m1 + 物1,人1 + v1 + ul1 + m1 + 什麼,物1,畫
259,畫_物1 裡_f1 有_v1 山_物2 有_v2 河_物3 還_d1 有_v3 房子_物4,畫裡面有什麼?,物1 + f1 + v1 + 物2 + v2 + 物3 + d1 + v3 + 物4,物1 + f1 + v1 + 什麼,物2,山
260,我_人1 把_p1 大自然_物1 畫_v1 在_p2 紙_物2 上_f1 了_ul1,我把什麼畫在紙上了?,人1 + p1 + 物1 + v1 + p2 + 物2 + f1 + ul1,人1 + p1 + 什麼 + v1 + p2 + 物2 + f1 + ul1,物1,大自然
261,小鵝_人1 跟_p1 在_p2 後頭_s1 走_v1,誰跟在後頭走?,人1 + p1 + p2 + s1 + v1,誰 + p1 + p2 + s1 + v1,人1,小鵝
262,野草地_地1 小花_物1 多_m1,草地上什麼多?,地1 + 物1 + m1,什麼 + m1,地1,野草地
263,小鵝_人1 看_v1 花_物1 不想_v2 走_v3,小鵝看什麼不想走?,人1 + v1 + 物1 + v2 + v3,人1 + v1 + 什麼 + v2 + v3,物1,花
264,鵝媽媽_人1 輕輕_d1 說_v1 別_d2 看_v2 花_物1 向前走_v3,誰說別看花向前走?,人1 + d1 + v1 + d2 + v2 + 物1 + v3,誰 + v1 + d2 + v2 + 物1 + v3,人1,鵝媽媽
265,小河_物1 彎彎_v1 在_p1 前頭_f1,什麼在前頭?,物1 + v1 + p1 + f1,什麼 + p1 + f1,物1,小河
267,我_人1 有_v1 一個_m1 洋娃娃_物1,我有一個什麼?,人1 + v1 + m1 + 物1,人1 + v1 + m1 + 什麼,物1,洋娃娃
268,我_人1 有_v1 一個_m1 洋娃娃_物1,誰有一個洋娃娃?,人1 + v1 + m1 + 物1,誰 + v1 + m1 + 物1,人1,我
269,腿兒_物1 長長_a1,什麼長?,物1 + a1,什麼,物1,腿兒
270,眼睛_物1 大_a1,什麼大?,物1 + a1,什麼 + a1,物1,眼睛
272,我_人1 哭_v1 了_ul1 她_人2 也_d1 哭_v2,我哭的時候她也如何?,人1 + v1 + ul1 + 人2 + d1 + v2,人1 + v1 + 人2 + d1 + 如何,人2,她
273,開心_v1 時候_t1 哈哈笑_v2 她_人1 也_d1 跟_p1 我_人2 笑哈哈_v3,開心的時候她跟我如何?,v1 + t1 + v2 + 人1 + d1 + p1 + 人2 + v3,v1 + t1 + 人1 + p1 + 人2 + 如何,人2,我
274,有_v1 一隻_m1 小_a1 蜘蛛_人1 在_p1 樹上_地1 結_v2 了_ul1 一面_m2 網_物1,誰在樹上結網?,v1 + m1 + a1 + 人1 + p1 + 地1 + v2 + ul1 + m2 + 物1,誰 + p1 + 地1 + v2 + 物1,人1,蜘蛛
275,有_v1 一隻_m1 小_a1 蜘蛛_人1 在_p1 樹上_地1 結_v2 了_ul1 一面_m2 網_物1,蜘蛛在哪裡結網?,v1 + m1 + a1 + 人1 + p1 + 地1 + v2 + ul1 + m2 + 物1,人1 + p1 + 哪裡 + v2 + 物1,地1,樹上
276,有_v1 一隻_m1 小_a1 蜘蛛_人1 在_p1 樹上_地1 結_v2 了_ul1 一面_m2 網_物1,蜘蛛在樹上做什麼?,v1 + m1 + a1 + 人1 + p1 + 地1 + v2 + ul1 + m2 + 物1,人1 + p1 + 地1 + 什麼,地1,樹上
277,清早_時1 蜘蛛網_物1 上_s1 有_v1 許多_m1 水珠_物2,什麼時候蜘蛛網上有許多水珠?,時1 + 物1 + s1 + v1 + m1 + 物2,什麼時候 + 物1 + s1 + v1 + m1 + 物2,時1,清早
279,清早_時1 蜘蛛網_物1 上_s1 有_v1 許多_m1 水珠_物2,清晨蜘蛛網上有很多什麼?,時1 + 物1 + s1 + v1 + m1 + 物2,物1 + s1 + v1 + 什麼,物1,蜘蛛網
280,每_r1 一顆_m1 水珠_物1 都_d1 像_v1 珍珠_物2 一樣_m2 閃閃_z1 發光_v2,水珠像什麼一樣閃閃發光?,r1 + m1 + 物1 + d1 + v1 + 物2 + m2 + z1 + v2,物1 + v1 + 什麼 + m2 + z1 + v2,物1,水珠
281,有_v1 一隻_m1 蚊子_人1 飛來_v2 飛去_v3 一不小心_l1 飛到_v4 蜘蛛網_物1 上_f1,誰飛到蜘蛛網上?,v1 + m1 + 人1 + v2 + v3 + l1 + v4 + 物1 + f1,誰 + v4 + 物1 + f1,人1,蚊子
283,蜘蛛網_物1 抓住_v1 了_ul1 蚊子_人1 的_uj1 腳_物2,什麼抓住了蚊子?,物1 + v1 + ul1 + 人1 + uj1 + 物2,什麼 + v1 + ul1 + 人1,物1,蜘蛛網
287,看見_v1 蚊子_人1 被_p1 抓住_v2 趕忙_d1 飛走_v3 了_ul1,看見誰被抓住趕忙飛走?,v1 + 人1 + p1 + v2 + d1 + v3 + ul1,v1 + 誰 + p1 + v2 + d1 + v3,人1,蚊子
288,一隻_m1 青蛙_人1 住_v1 在_p1 一口_m2 又_d1 深_a1 又_d2 黑_a2 的_uj1 井裡_地1,青蛙住在哪裡?,m1 + 人1 + v1 + p1 + m2 + d1 + a1 + d2 + a2 + uj1 + 地1,人1 + v1 + p1 + 哪裡,地1,井裡
289,一隻_m1 青蛙_人1 住_v1 在_p1 一口_m2 又_d1 深_a1 又_d2 黑_a2 的_uj1 井裡_地1,誰住在井裡?,m1 + 人1 + v1 + p1 + m2 + d1 + a1 + d2 + a2 + uj1 + 地1,誰 + v1 + p1 + 地1,人1,青蛙
290,青蛙_人1 在_p1 井裡_地1 每天_r1 抬起_v1 頭_物1 來_v2,誰在井裡抬起頭來?,人1 + p1 + 地1 + r1 + v1 + 物1 + v2,誰 + p1 + 地1 + v1 + 物1 + v2,人1,青蛙
291,看到_v1 的_uj1 只是_c1 一個_m1 圓圓_z1 的_uj2 小_a1 天空_地1,看到的只是一個什麼?,v1 + uj1 + c1 + m1 + z1 + uj2 + a1 + 地1,v1 + uj1 + c1 + m1 + 什麼,地1,天空
292,有_v1 一天_m1 一隻_m2 小_a1 鳥_人1 停_v2 在_p1 井口_地1,一隻小鳥停在哪裡?,v1 + m1 + m2 + a1 + 人1 + v2 + p1 + 地1,m2 + a1 + 人1 + v2 + p1 + 哪裡,地1,井口
293,有_v1 一天_m1 一隻_m2 小_a1 鳥_人1 停_v2 在_p1 井口_地1,誰停在井口?,v1 + m1 + m2 + a1 + 人1 + v2 + p1 + 地1,誰 + v2 + p1 + 地1,人1,鳥
294,小鳥_人1 喘著_v1 氣_n1 說_v2 我_人2 飛_v3 了_ul1 好久_m1 好_a1 累_a2 喔_o1,誰飛了好久好累?,人1 + v1 + n1 + v2 + 人2 + v3 + ul1 + m1 + a1 + a2 + o1,誰 + v3 + ul1 + m1 + a1 + a2,人1,小鳥
295,小_a1 鳥_人1 看_v1 了_ul1 看_v2 井裡_地1 的_uj1 青蛙_人2 說_zg1 你_人3 住_v3 在_p1 井裡_地2 沒有_v4 看見_v5 外面_f1 的_uj2 世界_n1,誰住在井裡沒有看見外面的世界?,a1 + 人1 + v1 + ul1 + v2 + 地1 + uj1 + 人2 + zg1 + 人3 + v3 + p1 + 地2 + v4 + v5 + f1 + uj2 + n1,誰 + v3 + p1 + 地1 + v4 + v1 + f1 + uj1 + n1,人1,鳥
297,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 上學_v4,爸爸帶誰去上學?,v1 + m1 + 人1 + v2 + 人2 + v3 + v4,人1 + v2 + 誰 + v3 + v4,人1,爸爸
298,有_v1 一天_m1 爸爸_人1 帶_v2 我_人2 去_v3 上學_v4,誰帶我去上學?,v1 + m1 + 人1 + v2 + 人2 + v3 + v4,誰 + v2 + 人2 + v3 + v4,人1,爸爸
300,我_人1 看到_v1 路_地1 的_uj1 兩旁_f1 插滿_v2 了_ul1 國旗_物1,我看到路兩旁插滿了什麼?,人1 + v1 + 地1 + uj1 + f1 + v2 + ul1 + 物1,人1 + v1 + 地1 + f1 + v2 + ul1 + 什麼,物1,國旗
301,我_人1 看到_v1 路_地1 的_uj1 兩旁_f1 插滿_v2 了_ul1 國旗_物1,誰看到路兩旁插滿了國旗?,人1 + v1 + 地1 + uj1 + f1 + v2 + ul1 + 物1,誰 + v1 + 地1 + f1 + v2 + ul1 + 物1,人1,我
